"NAME","SEX","COUNT"
"AALIYAH","F","46"
"AALON","M","5"
"AAMIR","M","6"
"AARAON","M","5"
"AAREN","M","6"
"AARIN","F","8"
"AARON","F","155"
"AARON","M","12309"
"AARRON","M","24"
"AARTI","F","13"
"AARYN","F","10"
"ABA","F","6"
"ABAGAIL","F","9"
"ABASI","M","7"
"ABBAS","M","5"
"ABBE","F","24"
"ABBEY","F","176"
"ABBI","F","21"
"ABBIE","F","177"
"ABBIGAIL","F","22"
"ABBY","F","619"
"ABBY","M","5"
"ABDALLAH","M","7"
"ABDEL","M","6"
"ABDIAS","M","5"
"ABDIEL","M","6"
"ABDU","M","5"
"ABDUAL","M","5"
"ABDUL","M","106"
"ABDULA","M","6"
"ABDULAZIZ","M","5"
"ABDULLA","M","10"
"ABDULLAH","M","47"
"ABDULRAHMAN","M","6"
"ABDUR","M","9"
"ABE","M","25"
"ABEER","F","8"
"ABEL","M","371"
"ABELARDO","M","44"
"ABENA","F","5"
"ABENI","F","11"
"ABI","F","7"
"ABID","M","5"
"ABIGAIL","F","1010"
"ABIGAL","F","7"
"ABIGALE","F","18"
"ABIGAYLE","F","5"
"ABIMAEL","M","8"
"ABIMBOLA","F","7"
"ABIOLA","F","6"
"ABLE","M","6"
"ABNER","M","35"
"ABRA","F","16"
"ABRAHAM","F","10"
"ABRAHAM","M","689"
"ABRAHAN","M","5"
"ABRAHM","M","5"
"ABRAM","M","150"
"ABRAN","M","26"
"ABRIAN","F","5"
"ABRIL","F","11"
"ABSALOM","M","7"
"AC","M","5"
"ACACIA","F","20"
"ACE","M","40"
"ACIE","M","12"
"ADA","F","197"
"ADAH","F","7"
"ADAIR","F","11"
"ADAIR","M","7"
"ADALBERTO","M","73"
"ADALINA","F","5"
"ADAM","F","68"
"ADAM","M","13924"
"ADAMA","F","6"
"ADAMA","M","6"
"ADAMS","M","30"
"ADAN","M","164"
"ADANNA","F","5"
"ADDAM","M","24"
"ADDIE","F","95"
"ADDISON","M","25"
"ADDY","F","14"
"ADE","M","6"
"ADEANA","F","11"
"ADEBOLA","F","6"
"ADEENA","F","5"
"ADEL","F","8"
"ADEL","M","6"
"ADELA","F","76"
"ADELAIDA","F","29"
"ADELAIDE","F","23"
"ADELBERT","M","7"
"ADELE","F","77"
"ADELIA","F","15"
"ADELINA","F","48"
"ADELINE","F","40"
"ADELITA","F","32"
"ADELL","F","11"
"ADELLA","F","12"
"ADELLE","F","21"
"ADEM","M","7"
"ADEMOLA","M","5"
"ADEN","M","22"
"ADENA","F","34"
"ADENIKE","F","9"
"ADERONKE","F","7"
"ADEWALE","M","9"
"ADI","F","5"
"ADIA","F","33"
"ADIKA","M","7"
"ADIL","M","5"
"ADIN","M","12"
"ADINA","F","113"
"ADISA","M","5"
"ADITI","F","9"
"ADNAN","M","20"
"ADOLFO","M","117"
"ADOLPH","M","44"
"ADOLPHO","M","5"
"ADOLPHUS","M","14"
"ADOM","M","5"
"ADONIA","F","5"
"ADONICA","F","8"
"ADONIS","M","37"
"ADONNA","F","8"
"ADORA","F","10"
"ADRA","F","9"
"ADRAIN","F","13"
"ADRAIN","M","112"
"ADRAINNE","F","7"
"ADREA","F","16"
"ADREAN","F","16"
"ADREAN","M","8"
"ADREANA","F","8"
"ADREANNE","F","7"
"ADRENA","F","10"
"ADREW","M","5"
"ADRIA","F","161"
"ADRIAN","F","315"
"ADRIAN","M","2308"
"ADRIANA","F","810"
"ADRIANA","M","6"
"ADRIANE","F","250"
"ADRIANN","F","39"
"ADRIANNA","F","146"
"ADRIANNE","F","404"
"ADRIANO","M","10"
"ADRIEANNE","F","5"
"ADRIEL","F","6"
"ADRIEL","M","37"
"ADRIEN","F","41"
"ADRIEN","M","62"
"ADRIENA","F","6"
"ADRIENE","F","49"
"ADRIENE","M","5"
"ADRIENNA","F","6"
"ADRIENNE","F","1733"
"ADRIENNE","M","11"
"ADRIN","M","19"
"ADRINA","F","11"
"ADRION","M","10"
"ADRON","M","10"
"ADWOA","F","7"
"AEISHA","F","10"
"AERIN","F","11"
"AESHA","F","25"
"AFI","F","5"
"AFIA","F","5"
"AFIYA","F","6"
"AFRICA","F","48"
"AFRICIA","F","5"
"AFRIKA","F","12"
"AFSHAN","F","5"
"AFTON","F","10"
"AFUA","F","7"
"AGAPITO","M","17"
"AGATHA","F","17"
"AGELIKI","F","6"
"AGGIE","F","9"
"AGNES","F","65"
"AGOSTINO","M","8"
"AGRON","M","10"
"AGUSTIN","M","128"
"AGUSTINA","F","12"
"AGUSTINE","M","14"
"AHARON","M","17"
"AHLAM","F","7"
"AHMAD","F","6"
"AHMAD","M","204"
"AHMAN","M","5"
"AHMED","M","94"
"AHMET","M","6"
"AHMON","M","5"
"AHNA","F","7"
"AHREN","M","32"
"AHRON","M","6"
"AHSLEY","F","8"
"AHUVA","F","8"
"AIDA","F","115"
"AIDAN","M","32"
"AIDE","F","34"
"AIDEE","F","11"
"AIESHA","F","45"
"AIESHIA","F","5"
"AIKO","F","6"
"AILEEN","F","159"
"AILSA","F","13"
"AIME","F","57"
"AIMEE","F","1905"
"AIMIE","F","38"
"AIMY","F","6"
"AINA","F","8"
"AINKA","F","6"
"AINSLEY","F","13"
"AIRIAN","F","5"
"AIRICA","F","9"
"AIRRION","M","8"
"AISA","F","11"
"AISHA","F","820"
"AISHAH","F","12"
"AISHE","F","5"
"AISHIA","F","22"
"AISLING","F","5"
"AISLINN","F","28"
"AISLYNN","F","10"
"AISSA","F","8"
"AIXA","F","7"
"AIYANA","F","14"
"AIYSHA","F","12"
"AJ","M","6"
"AJA","F","491"
"AJA","M","19"
"AJAH","F","6"
"AJAMU","M","7"
"AJANI","M","8"
"AJAY","M","35"
"AJEENAH","F","8"
"AJENE","M","9"
"AJIA","F","6"
"AKASH","M","6"
"AKBAR","M","17"
"AKEBA","F","5"
"AKEEM","M","5"
"AKEISHA","F","16"
"AKELA","F","6"
"AKELIA","F","6"
"AKEMI","F","8"
"AKESHA","F","15"
"AKESHIA","F","6"
"AKEYA","F","5"
"AKI","F","5"
"AKI","M","6"
"AKIA","F","24"
"AKIBA","F","5"
"AKIDA","M","7"
"AKIESHA","F","7"
"AKIKO","F","12"
"AKIL","M","41"
"AKILA","F","14"
"AKILAH","F","93"
"AKILI","M","9"
"AKIM","M","10"
"AKIMI","F","5"
"AKIN","M","5"
"AKIRA","F","15"
"AKIRA","M","7"
"AKISHA","F","29"
"AKITA","F","15"
"AKIVA","M","18"
"AKIYA","F","5"
"AKOSUA","F","5"
"AKRAM","M","9"
"AKUA","F","16"
"AL","M","134"
"ALAIN","M","43"
"ALAINA","F","146"
"ALAINE","F","13"
"ALAN","F","13"
"ALAN","M","2120"
"ALANA","F","440"
"ALANDA","F","25"
"ALANDO","M","7"
"ALANDRA","F","9"
"ALANE","F","14"
"ALANI","F","5"
"ALANIA","F","6"
"ALANNA","F","183"
"ALANZO","M","9"
"ALARIC","M","13"
"ALASTAIR","M","6"
"ALAYNA","F","42"
"ALAYNE","F","15"
