"NAME","SEX","COUNT"
"AARON","M","449"
"ABAGAIL","F","3"
"ABBEY","F","9"
"ABBIE","F","30"
"ABBY","F","8"
"ABDUL","M","4"
"ABIGAIL","F","35"
"ADAM","M","460"
"ADELE","F","6"
"ADRIAN","M","26"
"AEDAN","M","3"
"AHMED","M","6"
"AICHA","F","4"
"AIDAN","M","86"
"AIDEEN","F","35"
"AIDEN","M","5"
"AIFRIC","F","5"
"AILBHE","F","23"
"AILEEN","F","21"
"AILIS","F","3"
"AILISE","F","6"
"AILISH","F","21"
"AIMEE","F","41"
"AINE","F","140"
"AISHA","F","4"
"AISHLING","F","34"
"AISLING","F","212"
"AISLINN","F","15"
"ALAN","M","140"
"ALANA","F","27"
"ALANAH","F","10"
"ALANNA","F","52"
"ALANNAH","F","44"
"ALBERT","M","3"
"ALEC","M","3"
"ALEX","F","10"
"ALEX","M","93"
"ALEXANDER","M","66"
"ALEXANDRA","F","57"
"ALEXANDRIA","F","3"
"ALI","F","11"
"ALI","M","3"
"ALICE","F","40"
"ALICIA","F","14"
"ALISHA","F","11"
"ALISON","F","93"
"ALLAN","M","5"
"ALLANAH","F","4"
"ALLEN","M","6"
"ALLISON","F","6"
"ALYSHA","F","3"
"AMANDA","F","33"
"AMBER","F","43"
"AMELIA","F","10"
"AMI","F","3"
"AMIE","F","14"
"AMY","F","353"
"ANASTASIA","F","4"
"ANDRE","M","4"
"ANDREA","F","43"
"ANDREI","M","3"
"ANDREW","M","245"
"ANDY","M","5"
"ANGEL","F","9"
"ANGELA","F","10"
"ANITA","F","5"
"ANN","F","23"
"ANN MARIE","F","3"
"ANNA","F","133"
"ANNA MARIE","F","3"
"ANNABEL","F","3"
"ANNABELLE","F","3"
"ANNE","F","20"
"ANNE MARIE","F","6"
"ANNIE","F","22"
"ANTHONY","M","99"
"ANTOINETTE","F","3"
"ANTONIA","F","6"
"AODH","M","3"
"AODHAN","M","5"
"AOIBH","F","4"
"AOIBHE","F","10"
"AOIBHEANN","F","20"
"AOIBHIN","F","18"
"AOIBHINN","F","16"
"AOIFA","F","3"
"AOIFE","F","529"
"APRIL","F","11"
"ARAN","M","16"
"ARIANNA","F","4"
"ARLENE","F","5"
"ARON","M","5"
"ARRON","M","9"
"ART","M","3"
"ARTHUR","M","5"
"ASHLEIGH","F","9"
"ASHLEY","F","15"
"ASHLEY","M","8"
"ASHLING","F","18"
"AUDREY","F","6"
"AUSTIN","M","5"
"AUTUMN","F","3"
"AVA","F","41"
"AVRIL","F","17"
"BAILEY","M","3"
"BARBARA","F","5"
"BARRA","M","4"
"BARRY","M","53"
"BEATRICE","F","4"
"BEBHINN","F","6"
"BECKY","F","3"
"BEIBHINN","F","7"
"BELINDA","F","3"
"BEN","M","137"
"BENJAMIN","M","65"
"BERNADETTE","F","7"
"BERNARD","M","20"
"BETH","F","10"
"BETHANY","F","5"
"BEVIN","F","3"
"BIANCA","F","4"
"BILL","M","10"
"BILLIE","F","4"
"BILLY","M","12"
"BLAITHIN","F","12"
"BLAKE","M","6"
"BLATHNAID","F","12"
"BOBBY","M","3"
"BRAD","M","5"
"BRADLEY","M","11"
"BRANDON","M","67"
"BREDA","F","4"
"BRENDA","F","5"
"BRENDAN","M","60"
"BRIAN","M","181"
"BRIANNA","F","10"
"BRIANNE","F","3"
"BRID","F","14"
"BRIDGET","F","15"
"BRIGID","F","12"
"BRONA","F","6"
"BRONAGH","F","25"
"BRONWYN","F","7"
"BRYAN","M","29"
"CADHLA","F","3"
"CAHAL","M","3"
"CAIMIN","M","3"
"CAIN","M","6"
"CAIT","F","8"
"CAITHLIN","F","4"
"CAITLIN","F","74"
"CAITLINN","F","3"
"CAITLYN","F","4"
"CAITRIONA","F","21"
"CAL","M","3"
"CALEB","M","6"
"CALLAN","M","3"
"CALLUM","M","43"
