"NAME","SEX","COUNT"
"Aaliyah","F","10"
"Aaron","M","56"
"Abaigh","F","3"
"Abbey","F","3"
"Abbie","F","39"
"Abel","M","8"
"Abi","F","8"
"Abigail","F","73"
"Ada","F","4"
"Adam","M","124"
"Addison","F","3"
"Addison","M","3"
"Adele","F","4"
"Adrian","M","7"
"Aibhlinn","F","3"
"Aidan","M","35"
"Aiden","M","11"
"Aimee","F","37"
"Aine","F","20"
"Aironas","M","3"
"Aisha","F","3"
"Aisling","F","11"
"Aislinn","F","4"
"Aj","M","5"
"Alan","M","17"
"Alana","F","7"
"Alanna","F","7"
"Alannah","F","12"
"Albie","M","4"
"Alec","M","3"
"Aleksandra","F","5"
"Alesha","F","3"
"Alex","F","10"
"Alex","M","59"
"Alexa","F","13"
"Alexander","M","63"
"Alexandra","F","24"
"Alexis","F","14"
"Alfie","M","132"
"Ali","M","4"
"Alice","F","38"
"Alicia","F","11"
"Alicja","F","10"
"Alisha","F","6"
"Alivia","F","7"
"Allie","F","3"
"Alyssa","F","14"
"Amber","F","40"
"Amelia","F","149"
"Amelia-Lily","F","3"
"Amelia-Rose","F","9"
"Amelie","F","13"
"Amira","F","6"
"Amirah","F","4"
"Amy","F","44"
"Ana","F","7"
"Anais","F","3"
"Anastazja","F","3"
"Andre","M","3"
"Andrew","M","40"
"Angel","F","6"
"Angus","M","6"
"Anna","F","152"
"Anna-Mae","F","3"
"Annabel","F","8"
"Annabella","F","3"
"Annabelle","F","31"
"Annalise","F","5"
"Anne","F","4"
"Annie","F","81"
"Anthony","M","19"
"Antoin","M","3"
"Anton","M","4"
"Antoni","M","5"
"Antonia","F","3"
"Antonina","F","5"
"Aodan","M","3"
"Aodhan","M","47"
"Aoibh","F","8"
"Aoibhe","F","23"
"Aoibheann","F","44"
"Aoibhin","F","6"
"Aoibhinn","F","19"
"Aoife","F","147"
"April","F","7"
"Arabella","F","5"
"Archie","M","58"
"Aria","F","42"
"Ariah","F","5"
"Ariana","F","8"
"Arianna","F","12"
"Arlo","M","10"
"Arnas","M","3"
"Arthur","M","35"
"Arya","F","7"
"Ashton","M","8"
"Aston","M","3"
"Aubree","F","7"
"Aurora","F","5"
"Austin","M","16"
"Autumn","F","16"
"Ava","F","141"
"Ava-Grace","F","4"
"Ava-Rose","F","7"
"Avery","F","3"
"Ayda","F","4"
"Ayla","F","16"
"Ayva","F","3"
"Bailey","M","18"
"Barney","M","3"
"Barra","M","4"
"Barry","M","5"
"Beatrice","F","5"
"Bella","F","53"
"Belle","F","3"
"Ben","M","76"
"Benas","M","4"
"Benjamin","M","57"
"Bentley","M","7"
"Bernadette","F","3"
"Bernard","M","3"
"Bertie","M","3"
"Beth","F","31"
"Bethany","F","24"
"Billy","M","14"
"Blaithin","F","6"
"Blake","M","38"
"Blathnaid","F","4"
"Bobbi","F","4"
"Bobby","M","55"
"Bonnie","F","12"
"Bradley","M","9"
"Braeden","M","5"
"Brandon","M","4"
"Braxton","M","3"
"Brayden","M","4"
"Brendan","M","8"
"Brian","M","7"
"Brianna","F","4"
"Brodie","M","5"
"Brody","M","26"
"Brogan","M","7"
"Brona","F","3"
"Bronagh","F","4"
"Brooke","F","32"
"Brooklyn","F","6"
"Brooklyn","M","7"
"Bruno","M","3"
"Bryan","M","6"
"Cabhan","M","3"
"Cadain","M","4"
"Cadan","M","9"
"Caden","M","7"
"Cadhla","F","18"
"Caedan","M","3"
"Cael","M","3"
"Caelan","M","16"
"Cahal","M","3"
"Cahir","M","18"
"Cai","M","3"
"Caidan","M","3"
"Caiden","M","28"
"Cain","M","9"
"Cait","F","7"
"Caitlin","F","57"
"Caitlyn","F","4"
"Caleb","M","88"
"Callan","M","6"
"Callie","F","8"
"Callum","M","90"
"Calum","M","23"
"Calvin","M","16"
"Cameron","M","22"
"Caodhan","M","9"
"Caoimhe","F","55"
"Caoimhin","M","22"
"Caolan","M","49"
"Cara","F","104"
"Caragh","F","7"
"Carl","M","3"
"Carla","F","6"
"Carly","F","7"
"Caroline","F","4"
"Carrie","F","4"
"Carson","M","16"
"Carter","M","45"
"Casey","F","16"
"Casey","M","6"
"Casey-Leigh","F","3"
"Cassie","F","27"
"Cathain","M","3"
"Cathair","M","9"
"Cathal","M","14"
"Cathan","M","8"
"Cathaoir","M","8"
"Catherine","F","21"
"Cayden","M","6"
"Charles","M","22"
"Charley","F","6"
"Charlie","F","8"
"Charlie","M","213"
"Charlotte","F","73"
"Che","M","8"
"Chloe","F","115"
"Christian","M","12"
"Christina","F","3"
"Christopher","M","29"
"Cian","M","49"
"Ciara","F","24"
"Ciaran","M","31"
"Ciarnan","M","4"
"Cillian","M","88"
"Claire","F","5"
"Clara","F","62"
"Clare","F","3"
"Clark","M","3"
"Claudia","F","6"
"Cliodhna","F","17"
"Cliona","F","8"
"Clodagh","F","45"
"Codie","M","3"
"Cody","M","32"
"Coen","M","4"
"Cohen","M","20"
"Colby","M","5"
"Cole","M","14"
"Colm","M","5"
"Colton","M","7"
"Conal","M","17"
"Conall","M","26"
"Conan","M","50"
"Conchur","M","4"
"Conleth","M","4"
"Conn","M","8"
"Connie","F","24"
"Connla","M","5"
"Connor","M","29"
"Conor","M","115"
"Conrad","M","5"
"Cooper","M","24"
"Cora","F","36"
"Corbyn","M","4"
"Corey","M","27"
"Corin","M","3"
"Corina","F","3"
"Cormac","M","49"
"Cory","M","3"
"Courtney","F","6"
"Craig","M","3"
"Cristian","M","3"
"Cruz","M","4"
"Cuan","M","5"
"Cuisle","F","3"
"Culann","M","4"
"Curtis","M","10"
"Daire","M","29"
"Daisy","F","38"
"Daithi","M","45"
"Dakota","F","12"
"Dalton","M","3"
"Dan","M","7"
"Daniel","M","188"
"Danny","M","49"
"Dara","F","5"
"Dara","M","30"
"Daragh","M","9"
"Darcey","F","16"
"Darci","F","5"
"Darcie","F","21"
"Darcy","F","37"
"Darius","M","4"
"Darragh","M","83"
"Darren","M","6"
"David","M","50"
"Davin","M","4"
"Dawid","M","4"
"Dawson","M","11"
"Dean","M","3"
"Dearbhla","F","10"
"Declan","M","8"
"Deirbhile","F","3"
"Demi","F","3"
"Denise","F","3"
"Dermot","M","4"
"Desmond","M","4"
"Devon","F","3"
"Dexter","M","7"
"Diana","F","5"
"Diego","M","3"
"Dillon","M","6"
"Dominic","M","13"
"Dominik","M","13"
"Donal","M","12"
"Donnacha","M","10"
"Donncha","M","5"
"Donnchadh","M","5"
"Douglas","M","4"
"Drew","M","6"
"Dubhaltach","M","3"
"Dylan","M","82"
"Eabha","F","31"
"Eadaoin","F","4"
"Ebony","F","6"
"Eden","F","16"
"Eden","M","3"
"Edith","F","8"
"Eduard","M","4"
"Edward","M","23"
"Effie","F","4"
"Eibhleann","F","3"
"Eibhlin","F","3"
"Eileen","F","3"
"Eilis","F","3"
"Eimear","F","38"
"Eimer","F","3"
"Eimhear","F","3"
"Eimile","F","4"
"Eireann","F","18"
"Eirinn","F","7"
"Eleanor","F","10"
"Elena","F","15"
"Eli","M","32"
"Eliana","F","4"
"Elias","M","3"
"Elija","F","3"
"Elijah","M","29"
"Elise","F","4"
"Elisha","F","4"
"Eliza","F","15"
"Elizabeth","F","25"
"Ella","F","197"
"Ella-Jane","F","3"
"Ella-May","F","4"
"Ella-Rose","F","17"
"Elle","F","6"
"Ellen","F","28"
"Ellie","F","114"
"Ellie-Mae","F","10"
"Ellie-May","F","8"
"Ellie-Rose","F","4"
"Elliot","M","7"
"Elliott","M","12"
"Ellis","F","4"
"Ellis","M","5"
"Eloise","F","5"
"Elsa","F","9"
"Elsie","F","15"
"Ema","F","4"
"Emelia","F","8"
"Emelie","F","3"
"Emer","F","12"
"Emilia","F","18"
"Emilie","F","17"
"Emilija","F","3"
"Emily","F","233"
"Emily-Rose","F","6"
"Emma","F","104"
"Emme","F","3"
"Emmet","M","12"
"Emmett","M","6"
"Emmie","F","8"
"Emmy","F","3"
"Enda","M","14"
"Enya","F","8"
"Enzo","M","4"
"Eoghan","M","30"
"Eoin","M","62"
"Eric","M","7"
"Erica","F","7"
"Erik","M","4"
"Erika","F","3"
"Erin","F","87"
"Eryn","F","4"
"Esme","F","16"
"Esmee","F","9"
"Esther","F","4"
"Etain","F","3"
"Ethan","M","139"
"Euan","M","4"
"Eunan","M","3"
"Eva","F","132"
"Eva-Rose","F","5"
"Evan","M","26"
"Evanna","F","3"
"Eve","F","29"
"Evelina","F","3"
"Evelyn","F","16"
"Evie","F","82"
"Ewan","M","8"
"Ezra","M","24"
"Fabian","M","5"
"Faith","F","31"
"Faolan","M","9"
"Farah","F","9"
"Farrah","F","27"
"Faye","F","38"
"Felicity","F","5"
"Felix","M","6"
"Fia","F","6"
"Fiachra","M","6"
"Fiadh","F","43"
"Fianna","F","23"
"Filip","M","12"
"Finbar","M","4"
"Finlay","M","14"
"Finley","M","12"
"Finn","M","74"
"Fintan","M","6"
"Fionn","M","68"
"Fionnan","M","3"
"Fionnbharr","M","4"
"Fionntan","M","4"
"Fletcher","M","4"
"Florence","F","16"
"Flynn","M","18"
"Francesca","F","7"
"Francis","M","10"
"Franciszek","M","3"
"Frank","M","5"
"Frankie","F","9"
"Frankie","M","12"
"Fraser","M","4"
"Frazer","M","3"
"Freddie","M","46"
"Frederick","M","4"
"Freya","F","80"
"Freyja","F","4"
"Gabriel","M","18"
"Gabriela","F","7"
"Gabriella","F","8"
"Gabrielle","F","3"
"Gary","M","6"
"George","M","58"
"Georgia","F","53"
"Georgie","F","6"
"Georgina","F","4"
"Gerard","M","11"
"Grace","F","192"
"Gracie","F","31"
"Grainne","F","8"
"Guy","M","4"
"Hailey","F","6"
"Hallie","F","3"
"Hanna","F","6"
"Hannah","F","98"
"Harley","F","3"
"Harley","M","25"
"Harper","F","35"
"Harriet","F","16"
"Harris","M","11"
"Harrison","M","39"
"Harry","M","166"
"Harvey","M","29"
"Hayden","M","10"
"Hayley","F","8"
"Hazel","F","4"
"Heath","M","4"
"Heidi","F","41"
"Helena","F","6"
"Henry","M","50"
"Hollie","F","45"
"Holly","F","58"
"Hope","F","12"
"Hubert","M","4"
"Hudson","M","7"
"Hugh","M","19"
"Hugo","M","8"
"Hunter","M","13"
"Ian","M","4"
"Iarla","M","3"
"Iarlaith","M","4"
"Igor","M","4"
"Imogen","F","22"
"Iona","F","6"
"Isaac","M","72"
"Isabel","F","6"
"Isabella","F","78"
"Isabelle","F","13"
"Isaiah","M","4"
"Isla","F","121"
"Isobel","F","10"
"Isobella","F","4"
"Ivy","F","20"
"Izabella","F","4"
"Jace","M","8"
"Jacinta","F","3"
"Jack","M","261"
"Jackson","M","46"
"Jacob","M","135"
"Jade","F","5"
"Jaden","M","7"
"Jai","M","4"
"Jaiden","M","3"
"Jake","M","141"
"Jakub","M","14"
"James","M","300"
"Jamie","F","3"
"Jamie","M","74"
"Jan","M","7"
"Jane","F","10"
"Jared","M","3"
"Jasmin","F","3"
"Jasmine","F","19"
"Jason","M","19"
"Jasper","M","3"
"Jax","M","23"
"Jaxon","M","47"
"Jaxson","M","13"
"Jaxx","M","4"
"Jay","M","29"
"Jayce","M","3"
"Jayden","M","52"
"Jayson","M","3"
"Jazmine","F","3"
"Jed","M","3"
"Jemima","F","4"
"Jenna","F","6"
"Jennifer","F","6"
"Jenny","F","3"
"Jensen","M","10"
"Jenson","M","19"
"Jerome","M","4"
"Jersey","F","3"
"Jesse","M","8"
"Jessica","F","138"
"Jessie","F","9"
"Jett","M","3"
"Joanna","F","3"
"Joanne","F","5"
"Jodie","F","8"
"Joe","M","33"
"Joel","M","39"
"Joey","M","11"
"John","M","65"
"John-James","M","8"
"Johnny","M","11"
"Jonah","M","51"
"Jonas","M","4"
"Jonathan","M","20"
"Jordan","M","13"
"Jorgia","F","3"
"Jorja","F","10"
"Joseph","M","84"
"Josh","M","33"
"Joshua","M","110"
"Josiah","M","4"
"Josie","F","7"
"Jude","M","75"
"Julia","F","26"
"Juliet","F","4"
"Juliette","F","5"
"Jun","M","3"
"Junior","M","8"
"Juno","F","4"
"Justin","M","4"
"Justinas","M","4"
"Kacey","F","5"
"Kaci","F","5"
"Kacie","F","5"
"Kacie-Leigh","F","3"
"Kacper","M","12"
"Kade","M","6"
"Kaden","M","5"
"Kai","M","45"
"Kaia","F","3"
"Kaiden","M","25"
"Kain","M","4"
"Kaitlin","F","5"
"Kaitlyn","F","6"
"Kajus","M","4"
"Kaleb","M","10"
"Kane","M","6"
"Kara","F","9"
"Karl","M","3"
"Karolina","F","3"
"Karson","M","3"
"Karter","M","4"
"Kason","M","3"
"Kate","F","31"
"Katelyn","F","6"
"Katherine","F","9"
"Kathleen","F","5"
"Kathryn","F","5"
"Katie","F","106"
"Katie-Rose","F","3"
"Kaya","F","4"
"Kayden","M","19"
"Kayla","F","25"
"Kaylee","F","5"
"Kayleigh","F","7"
"Keegan","M","6"
"Keela","F","3"
"Keelan","M","9"
