"NAME","SEX","COUNT"
"AARON","M","74"
"ABIGAIL","F","4"
"ABINA","F","3"
"ADAM","M","92"
"ADELE","F","7"
"ADELINE","F","4"
"ADRIAN","M","147"
"ADRIANNE","F","4"
"ADRIENNE","F","9"
"AENGUS","M","5"
"AGNES","F","7"
"AHMED","M","4"
"AIDAN","M","225"
"AIDEEN","F","48"
"AIDEN","M","28"
"AIFRIC","F","5"
"AILBHE","F","30"
"AILEEN","F","70"
"AILIS","F","6"
"AILISE","F","3"
"AILISH","F","29"
"AIMEE","F","35"
"AINE","F","195"
"AISHA","F","3"
"AISHLING","F","47"
"AISHLINN","F","3"
"AISLEEN","F","5"
"AISLING","F","311"
"AISLINN","F","13"
"ALAN","M","647"
"ALANA","F","15"
"ALANNA","F","10"
"ALASTAIR","M","8"
"ALBERT","M","14"
"ALEX","M","10"
"ALEXANDER","M","25"
"ALEXANDRA","F","13"
"ALEXIS","M","3"
"ALFRED","M","4"
"ALICE","F","47"
"ALICIA","F","16"
"ALISON","F","124"
"ALLAN","M","13"
"ALLEN","M","14"
"ALLISON","F","11"
"ALMA","F","14"
"ALVA","F","7"
"AMANDA","F","164"
"AMELIA","F","5"
"AMIE","F","14"
"AMY","F","247"
"ANA","F","3"
"ANASTATIA","F","5"
"ANDREA","F","94"
"ANDREW","M","381"
"ANGELA","F","75"
"ANGELINA","F","5"
"ANGELINE","F","6"
"ANGUS","M","5"
"ANITA","F","65"
"ANN","F","240"
"ANNA","F","135"
"ANNE","F","247"
"ANNEMARIE","F","6"
"ANNETTE","F","42"
"ANNIE","F","11"
"ANNMARIE","F","8"
"ANTHONY","M","420"
"ANTOIN","M","3"
"ANTOINETTE","F","36"
"ANTON","M","9"
"ANTONIA","F","3"
"AODH","M","3"
"AOIBHEANN","F","9"
"AOIBHINN","F","5"
"AOIFA","F","4"
"AOIFE","F","420"
"AONGHUS","M","10"
"APRIL","F","5"
"ARAN","M","5"
"ARLENE","F","39"
"ARON","M","3"
"ARRAN","M","4"
"ARRON","M","3"
"ARTHUR","M","14"
"ASHLEIGH","F","3"
"ASHLEY","F","11"
"ASHLEY","M","10"
"ASHLING","F","86"
"AUDREY","F","74"
"AUDRINA","F","3"
"AUGUSTINE","M","3"
"AUSTIN","M","17"
"AVA","F","4"
"AVEEN","F","4"
"AVERIL","F","4"
"AVRIL","F","50"
"BARBARA","F","73"
"BARRIE","M","6"
"BARRY","M","396"
"BARTHOLOMEW","M","15"
"BEBHINN","F","5"
"BELINDA","F","17"
"BEN","M","13"
"BENJAMIN","M","32"
"BERNADETTE","F","121"
"BERNARD","M","79"
"BERNICE","F","5"
"BILLY","M","3"
"BLAKE","M","4"
"BLATHNAID","F","11"
"BREDA","F","36"
"BREEGE","F","7"
"BREFFNI","F","3"
"BRENDA","F","57"
"BRENDAN","M","315"
"BRIAN","M","728"
"BRID","F","31"
"BRIDGET","F","147"
"BRIDIE","F","3"
"BRIGID","F","38"
"BRONA","F","18"
"BRONAGH","F","17"
"BRYAN","M","79"
"BYRON","M","3"
"CAIT","F","9"
"CAITLIN","F","3"
"CAITRIONA","F","105"
"CALVIN","M","5"
"CAMILLA","F","5"
"CAOILFHIONN","F","5"
"CAOIMHE","F","54"
"CAOIMHIN","M","5"
"CARA","F","18"
"CARINA","F","8"
"CARL","M","40"
"CARLA","F","22"
"CARLEY","F","3"
"CARMEL","F","73"
"CAROL","F","184"
"CAROLE","F","14"
"CAROLINE","F","351"
"CAROLYN","F","15"
"CARRIE","F","12"
"CASEY","M","3"
"CASSANDRA","F","7"
"CASSIE","F","3"
"CATHAL","M","134"
"CATHERINA","F","19"
"CATHERINE","F","498"
"CATHERIONA","F","3"
"CATHRINA","F","3"
"CATHRIONA","F","28"
"CATHY","F","30"
"CATRIONA","F","105"
"CEARA","F","4"
"CECELIA","F","3"
"CECILIA","F","4"
"CEIRE","F","5"
