"NAME","SEX","COUNT"
"A","M","5"
"A'ISHAH","F","3"
"A-JAY","M","5"
"AABID","M","3"
"AADAM","M","66"
"AADI","M","16"
"AADIL","M","30"
"AADITYA","M","4"
"AAHIL","M","4"
"AAISHA","F","40"
"AAISHAH","F","9"
"AAIZA","F","3"
"AAKASH","M","3"
"AAKIFA","F","4"
"AAKIFAH","F","8"
"AALA","F","3"
"AALEYAH","F","4"
"AALIA","F","8"
"AALIAH","F","18"
"AALISHA","F","3"
"AALIYA","F","25"
"AALIYAH","F","487"
"AALIYHA","F","3"
"AALYIAH","F","3"
"AAMANI","F","7"
"AAMENA","F","3"
"AAMENAH","F","6"
"AAMILAH","F","5"
"AAMINA","F","57"
"AAMINAH","F","69"
"AAMIR","M","24"
"AAMIRAH","F","12"
"AAMNA","F","32"
"AAMNAH","F","5"
"AANCHAL","F","3"
"AANIS","M","3"
"AANYA","F","20"
"AAQIB","M","12"
"AARAN","M","13"
"AARAV","M","22"
"AAREN","M","3"
"AARIAN","M","3"
"AARIFAH","F","3"
"AARIZ","M","8"
"AARON","M","1620"
"AARRON","M","9"
"AARTI","F","4"
"AARUN","M","4"
"AARUSH","M","7"
"AARUSHI","F","7"
"AARYA","F","6"
"AARYA","M","5"
"AARYAN","M","61"
"AARZU","F","3"
"AASHA","F","3"
"AASHI","F","3"
"AASHIKA","F","3"
"AASHIR","M","8"
"AASHISH","M","3"
"AASHNA","F","5"
"AASIA","F","5"
"AASIF","M","3"
"AASIM","M","5"
"AASIYA","F","6"
"AASIYAH","F","11"
"AASTHA","F","3"
"AATIKA","F","4"
"AATIKAH","F","3"
"AAYA","F","4"
"AAYAAN","M","3"
"AAYAH","F","3"
"AAYAN","M","73"
"AAYAT","F","4"
"AAYLA","F","4"
"AAYUSH","M","13"
"AAYUSHI","F","3"
"ABAAS","M","5"
"ABBAS","M","60"
"ABBEY","F","93"
"ABBI","F","65"
"ABBIE","F","727"
"ABBIE-JO","F","3"
"ABBIE-LEIGH","F","6"
"ABBIE-LOUISE","F","5"
"ABBIE-MAI","F","3"
"ABBIEGAIL","F","4"
"ABBIGAIL","F","21"
"ABBIGAYLE","F","3"
"ABBY","F","159"
"ABBYGAIL","F","6"
"ABD","M","9"
"ABDALLA","M","12"
"ABDALLAH","M","22"
"ABDEL","M","10"
"ABDELLAH","M","5"
"ABDELRAHMAN","M","5"
"ABDERAHMAN","M","3"
"ABDI","M","23"
"ABDIAZIZ","M","5"
"ABDIFATAH","M","4"
"ABDIKARIM","M","3"
"ABDILLAHI","M","3"
"ABDIMALIK","M","10"
"ABDIQANI","M","4"
"ABDIRAHIM","M","9"
"ABDIRAHMAAN","M","4"
"ABDIRAHMAN","M","98"
"ABDIRASHID","M","3"
"ABDIRIZAK","M","4"
"ABDISALAM","M","3"
"ABDISAMAD","M","4"
"ABDISHAKUR","M","4"
"ABDIWAHID","M","3"
"ABDOU","M","4"
"ABDOULIE","M","4"
"ABDUL","M","312"
"ABDUL-","M","4"
