"NAME","SEX","COUNT"
"AAISHA","F","8"
"AAKASH","M","13"
"AALIYAH","F","15"
"AAMBER","F","6"
"AAMINAH","F","5"
"AAMIR","M","26"
"AARAN","M","5"
"AAREN","F","14"
"AAREN","M","18"
"AARICA","F","12"
"AARICK","M","5"
"AARIEL","F","14"
"AARIKA","F","43"
"AARIN","F","10"
"AARIN","M","12"
"AARION","F","10"
"AARION","M","10"
"AARON","F","101"
"AARON","M","14242"
"AARONJAMES","M","6"
"AARONMICHAEL","M","7"
"AARRON","M","43"
"AARTI","F","10"
"AARYN","F","8"
"AARYN","M","11"
"ABAD","M","6"
"ABAGAEL","F","6"
"ABAGAIL","F","59"
"ABANOUB","M","6"
"ABAYOMI","M","7"
"ABBAGAIL","F","6"
"ABBAS","M","17"
"ABBE","F","14"
"ABBEY","F","451"
"ABBI","F","50"
"ABBIE","F","275"
"ABBIGAIL","F","72"
"ABBIGALE","F","8"
"ABBIGAYLE","F","6"
"ABBY","F","1174"
"ABBYE","F","6"
"ABBYGAIL","F","13"
"ABDALLA","M","9"
"ABDALLAH","M","15"
"ABDEL","M","13"
"ABDELRAHMAN","M","6"
"ABDIAS","M","9"
"ABDIEL","M","28"
"ABDO","M","5"
"ABDON","M","10"
"ABDOU","M","5"
"ABDUL","M","125"
"ABDULAZIZ","M","14"
"ABDULLA","M","11"
"ABDULLAH","M","79"
"ABDULMALIK","M","6"
"ABDULRAHMAN","M","24"
"ABDUR","M","6"
"ABE","M","23"
"ABED","M","7"
"ABEER","F","11"
"ABEGAIL","F","5"
"ABEL","M","623"
"ABELARDO","M","56"
"ABELINA","F","7"
"ABELINO","M","12"
"ABENA","F","13"
"ABENI","F","7"
"ABHAY","M","9"
"ABHINAV","M","10"
"ABHISHEK","M","12"
"ABID","M","8"
"ABIEL","M","10"
"ABIGAEL","F","21"
"ABIGAIL","F","3799"
"ABIGAIL","M","13"
"ABIGAILE","F","8"
"ABIGAL","F","11"
"ABIGALE","F","54"
"ABIGAYLE","F","39"
"ABILENE","F","16"
"ABIMAEL","M","17"
"ABIOLA","F","7"
"ABIOLA","M","5"
"ABIR","F","6"
"ABISAI","M","16"
"ABLE","M","11"
"ABNER","M","63"
"ABRA","F","17"
"ABRAH","F","6"
"ABRAHAM","F","5"
"ABRAHAM","M","1161"
"ABRAHAN","M","19"
"ABRAHIM","M","14"
"ABRAHM","M","8"
"ABRAM","M","133"
"ABRAN","M","37"
"ABRAR","F","5"
"ABRAR","M","6"
"ABREA","F","8"
"ABREANNA","F","5"
"ABREE","F","6"
"ABRIA","F","23"
"ABRIAN","M","7"
"ABRIANA","F","25"
"ABRIANNA","F","23"
"ABRIEL","F","35"
"ABRIELLE","F","44"
"ABRIL","F","128"
"ABSALOM","M","6"
"ABU","M","9"
"ABUBAKR","M","5"
"ABYGAIL","F","12"
"ACACIA","F","91"
"ACADIA","F","5"
"ACASIA","F","7"
"ACE","M","35"
"ACHAIA","F","5"
"ACIE","M","15"
"ADA","F","167"
"ADAEZE","F","6"
"ADAH","F","12"
"ADAIR","F","15"
"ADAISHA","F","5"
"ADALBERTO","M","111"
"ADALIA","F","7"
"ADALID","M","6"
"ADALINA","F","7"
"ADALINE","F","9"
"ADALIS","F","5"
"ADALISA","F","6"
"ADALYN","F","5"
"ADAM","F","21"
"ADAM","M","12303"
"ADAMA","F","8"
"ADAMS","M","12"
"ADAN","F","5"
"ADAN","M","359"
"ADANA","F","6"
"ADANNA","F","5"
"ADANTE","M","6"
"ADARA","F","32"
"ADARIUS","M","32"
"ADARSH","M","7"
"ADASHA","F","5"
"ADDAM","M","15"
"ADDIE","F","98"
"ADDIS","M","5"
"ADDISON","F","104"
"ADDISON","M","243"
"ADDY","F","13"
"ADDYSON","F","5"
"ADE","M","9"
"ADEANA","F","8"
"ADEBAYO","M","7"
"ADEEL","M","12"
"ADEL","M","26"
"ADELA","F","105"
"ADELAIDA","F","33"
"ADELAIDE","F","48"
"ADELAIDO","M","7"
"ADELBERT","M","5"
"ADELE","F","88"
"ADELENE","F","9"
"ADELIA","F","19"
"ADELINA","F","56"
"ADELINE","F","74"
"ADELITA","F","16"
"ADELL","F","9"
"ADELLA","F","9"
"ADELLE","F","23"
"ADELY","F","5"
"ADELYN","F","22"
"ADEM","M","14"
"ADEN","F","7"
"ADEN","M","26"
"ADENA","F","18"
"ADENIKE","F","9"
"ADEOLA","F","10"
"ADESHA","F","5"
"ADESSA","F","7"
"ADESUWA","F","8"
"ADETOKUNBO","M","8"
"ADHAM","M","11"
"ADI","F","14"
"ADI","M","6"
"ADIA","F","13"
"ADIAN","M","6"
"ADIB","M","6"
"ADIEL","F","5"
"ADIEL","M","8"
"ADIL","M","31"
"ADILENE","F","177"
"ADILENNE","F","6"
"ADILIA","F","5"
"ADIN","M","15"
"ADINA","F","89"
"ADISON","F","6"
"ADISON","M","14"
"ADITI","F","18"
"ADITYA","M","27"
"ADLAI","M","6"
"ADLER","M","8"
"ADLINE","F","5"
"ADNAN","M","25"
"ADOLFO","M","231"
"ADOLPH","M","21"
"ADOLPHO","M","8"
"ADOLPHUS","M","9"
"ADOM","M","5"
"ADON","M","10"
"ADONAI","M","5"
"ADONAY","M","9"
"ADONIS","F","5"
"ADONIS","M","106"
"ADONNA","F","6"
"ADONNIS","M","10"
"ADONTE","M","8"
"ADONUS","M","5"
"ADORA","F","18"
"ADRAIN","F","7"
"ADRAIN","M","64"
"ADREA","F","16"
"ADREAN","F","10"
"ADREAN","M","21"
"ADREANA","F","35"
"ADREANNA","F","40"
"ADREANNE","F","5"
"ADRENA","F","5"
"ADREONA","F","5"
"ADRIA","F","102"
"ADRIAN","F","329"
"ADRIAN","M","3920"
"ADRIANA","F","2241"
"ADRIANA","M","23"
"ADRIANE","F","74"
"ADRIANE","M","14"
"ADRIANN","F","15"
"ADRIANNA","F","933"
"ADRIANNE","F","249"
"ADRIANO","M","26"
"ADRIAUNA","F","5"
"ADRIC","M","8"
"ADRIE","F","5"
"ADRIEANA","F","7"
"ADRIEANNA","F","25"
"ADRIEL","F","16"
"ADRIEL","M","89"
"ADRIELLE","F","15"
"ADRIEN","F","18"
"ADRIEN","M","96"
"ADRIENA","F","5"
"ADRIENE","F","39"
"ADRIENN","F","5"
"ADRIENNA","F","27"
"ADRIENNE","F","1107"
"ADRIENNE","M","13"
"ADRIN","F","7"
"ADRINA","F","31"
"ADRINE","F","5"
"ADRION","M","17"
"ADRIONA","F","9"
"ADRIONNA","F","14"
"ADRON","M","9"
"ADRYAN","M","13"
"ADRYANA","F","5"
"ADRYANNA","F","5"
"ADWOA","F","6"
"AEDAN","M","5"
"AEISHA","F","24"
"AERIAL","F","132"
"AERIAL","M","6"
"AERICA","F","9"
"AERIEL","F","72"
"AERIELL","F","13"
"AERIELLE","F","16"
"AERIKA","F","9"
"AERIN","F","5"
"AERON","M","16"
"AERYK","M","12"
"AESHA","F","17"
"AESHIA","F","7"
"AFIA","F","5"
"AFIYA","F","6"
"AFNAN","F","9"
"AFRICA","F","16"
"AFRIKA","F","5"
"AFTAN","F","5"
"AFTON","F","74"
"AFTON","M","9"
"AFZAL","M","6"
"AGAPITO","M","14"
"AGATA","F","10"
"AGATHA","F","27"
"AGNES","F","67"
"AGNIESZKA","F","9"
"AGOSTINO","M","5"
"AGRON","M","5"
"AGUEDA","F","7"
"AGUSTIN","M","260"
"AGUSTINA","F","16"
"AGUSTINE","M","13"
"AGUSTUS","M","11"
"AH","F","6"
"AHAD","M","6"
"AHARON","M","46"
"AHKEEM","M","17"
"AHLAM","F","21"
"AHMAAD","M","7"
"AHMAD","M","293"
"AHMED","M","194"
"AHMER","M","6"
"AHMET","M","7"
"AHMIR","M","10"
"AHMOND","M","5"
"AHNA","F","16"
"AHNNA","F","8"
"AHREN","M","11"
"AHRON","M","10"
"AHSAN","M","12"
"AHSLEY","F","56"
"AHUVA","F","15"
"AI","F","19"
"AICHA","F","15"
"AIDA","F","114"
"AIDAN","F","17"
"AIDAN","M","167"
"AIDE","F","32"
"AIDEE","F","28"
"AIDEN","M","27"
"AIESHA","F","91"
"AIGNER","F","17"
"AIJA","F","5"
"AIJALON","M","5"
"AIKEEM","M","8"
"AIKO","F","11"
"AILA","F","6"
"AILEEN","F","254"
"AILENE","F","10"
"AILI","F","5"
"AILIN","F","7"
"AILISH","F","6"
"AILSA","F","9"
"AIME","F","20"
"AIMEE","F","945"
"AIMI","F","6"
"AIMIE","F","11"
"AIMY","F","6"
"AINA","F","6"
"AINE","F","8"
"AINSLEE","F","8"
"AINSLEY","F","76"
"AINSLIE","F","8"
"AIRA","F","5"
"AIRAM","F","6"
"AIREAL","F","23"
"AIREANNA","F","5"
"AIREL","F","17"
"AIRELLE","F","15"
"AIREN","F","5"
"AIREONA","F","10"
"AIRICA","F","6"
"AIRIEL","F","27"
"AIRIELLE","F","10"
"AIRIKA","F","11"
"AIRON","M","6"
"AISA","F","17"
"AISHA","F","523"
"AISHAH","F","31"
"AISHIA","F","17"
"AISLING","F","22"
"AISLINN","F","50"
"AISLYN","F","8"
"AISLYNN","F","13"
"AISSA","F","20"
"AIXA","F","11"
"AIYANA","F","21"
"AIYANNA","F","6"
"AIYSHA","F","8"
"AIZA","F","8"
"AJ","M","24"
"AJA","F","230"
"AJAH","F","17"
"AJAI","F","5"
"AJAMU","M","7"
"AJANAE","F","11"
"AJANI","M","18"
"AJAY","M","42"
"AJENE","M","5"
"AJIA","F","20"
"AJIT","M","5"
"AKANE","F","8"
"AKARI","F","6"
"AKASH","M","68"
"AKASHA","F","20"
"AKAYLA","F","7"
"AKBAR","M","12"
"AKEA","F","9"
"AKEEL","M","6"
"AKEEM","M","419"
"AKEEMA","F","10"
"AKEEN","M","12"
"AKEENA","F","5"
"AKEIA","F","9"
"AKEILA","F","5"
"AKEISHA","F","5"
"AKELA","F","20"
"AKEMI","F","13"
"AKESHA","F","6"
"AKEYA","F","7"
"AKEYLA","F","7"
"AKHEEM","M","6"
"AKHIL","M","13"
"AKI","F","8"
"AKIA","F","36"
"AKIEM","M","8"
"AKIERA","F","5"
"AKIHIRO","M","6"
"AKIKO","F","9"
"AKIL","M","55"
"AKILA","F","11"
"AKILAH","F","92"
"AKILI","M","9"
"AKIM","M","18"
"AKIN","M","8"
"AKINA","F","7"
"AKIRA","F","46"
"AKIRA","M","12"
"AKISHA","F","5"
"AKITA","F","5"
"AKIVA","M","27"
"AKOSUA","F","6"
"AKRAM","M","16"
"AKSHAR","M","6"
"AKSHAY","M","15"
"AKUA","F","14"
"AKWASI","M","5"
"AKYRA","F","6"
"AL","M","63"
"ALA","F","17"
"ALA","M","6"
"ALAA","F","31"
"ALAA","M","13"
"ALACIA","F","17"
"ALAETRA","F","17"
"ALAIN","M","79"
"ALAINA","F","523"
"ALAINAH","F","5"
"ALAINE","F","22"
"ALAINNA","F","6"
"ALAISHA","F","9"
"ALAM","M","6"
"ALAN","F","16"
"ALAN","M","2543"
"ALANA","F","700"
"ALANAH","F","42"
"ALANDA","F","9"
"ALANDO","M","7"
"ALANDRA","F","11"
"ALANDRIA","F","20"
"ALANE","F","9"
"ALANEA","F","5"
"ALANI","F","10"
"ALANIA","F","9"
"ALANMICHAEL","M","32"
"ALANNA","F","476"
"ALANNAH","F","143"
"ALANTE","F","7"
"ALANTE","M","26"
"ALANZO","M","7"
"ALARIC","M","18"
"ALASDAIR","M","5"
"ALASHA","F","10"
"ALASIA","F","12"
"ALASKA","F","5"
"ALASTAIR","M","14"
"ALAURA","F","42"
"ALAYA","F","12"
"ALAYNA","F","219"
"ALAYNAH","F","5"
"ALAYNE","F","10"
"ALAYNNA","F","5"
"ALAYSHA","F","17"
"ALAYSIA","F","15"
"ALBA","F","86"
"ALBAN","M","12"
"ALBANY","F","19"
"ALBARO","M","27"
"ALBERT","F","5"
"ALBERT","M","1697"
"ALBERTA","F","48"
"ALBERTINA","F","10"
"ALBERTO","F","14"
"ALBERTO","M","1420"
"ALBESA","F","5"
"ALBIN","M","10"
"ALBINA","F","5"
"ALBINO","M","19"
"ALCIA","F","5"
"ALCIDES","M","6"
"ALDA","F","13"
"ALDAIR","M","8"
"ALDEN","F","13"
"ALDEN","M","91"
"ALDINA","F","5"
"ALDO","M","169"
"ALDON","M","12"
"ALDRED","M","5"
"ALDRIC","M","6"
"ALDRICH","M","7"
"ALDRICK","M","6"
"ALDRIN","M","10"
"ALDWIN","M","6"
"ALEA","F","70"
"ALEACIA","F","6"
"ALEAH","F","105"
"ALEAHA","F","12"
"ALEANA","F","7"
"ALEASE","F","12"
"ALEASHA","F","33"
"ALEATHA","F","9"
"ALEATRA","F","5"
"ALEC","F","20"
"ALEC","M","1539"
"ALECHIA","F","5"
"ALECIA","F","281"
"ALECK","M","8"
"ALECZANDER","M","12"
"ALEDA","F","6"
"ALEE","F","9"
"ALEEA","F","6"
"ALEECE","F","18"
"ALEECIA","F","11"
"ALEEM","M","9"
"ALEEN","F","14"
"ALEENA","F","39"
"ALEESA","F","13"
"ALEESE","F","5"
"ALEESHA","F","86"
"ALEEZA","F","10"
"ALEGANDRA","F","9"
"ALEGANDRO","M","16"
"ALEGRA","F","14"
"ALEGRIA","F","6"
"ALEIA","F","27"
"ALEICIA","F","8"
"ALEIDA","F","21"
"ALEIGH","F","5"
"ALEIGHA","F","26"
"ALEISA","F","6"
"ALEISHA","F","102"
"ALEJANDO","M","7"
"ALEJANDRA","F","1640"
"ALEJANDRA","M","32"
"ALEJANDRIA","F","5"
"ALEJANDRINA","F","36"
"ALEJANDRO","F","25"
"ALEJANDRO","M","2788"
"ALEJO","M","10"
"ALEK","M","89"
"ALEKA","F","5"
"ALEKSANDAR","M","21"
"ALEKSANDER","M","41"
"ALEKSANDR","M","25"
"ALEKSANDRA","F","34"
"ALEN","M","37"
"ALENA","F","141"
"ALENE","F","13"
"ALENNA","F","6"
"ALEQ","M","5"
"ALESA","F","20"
"ALESANDRA","F","9"
"ALESANDRO","M","5"
"ALESCIA","F","5"
"ALESE","F","14"
"ALESHA","F","298"
"ALESHIA","F","149"
"ALESIA","F","115"
"ALESSA","F","16"
"ALESSANDRA","F","215"
"ALESSANDRIA","F","5"
"ALESSANDRO","M","80"
"ALESSIA","F","25"
"ALESSIO","M","6"
"ALETA","F","22"
"ALETHA","F","32"
"ALETHEA","F","34"
"ALETHIA","F","16"
"ALETRA","F","6"
"ALETTA","F","5"
"ALEX","F","369"
"ALEX","M","6672"
"ALEXA","F","2476"
"ALEXA","M","11"
"ALEXADRA","F","6"
"ALEXANDA","F","7"
"ALEXANDAR","M","13"
"ALEXANDER","F","193"
"ALEXANDER","M","17638"
"ALEXANDERA","F","22"
"ALEXANDERIA","F","47"
"ALEXANDIA","F","5"
"ALEXANDR","M","8"
"ALEXANDRA","F","9456"
"ALEXANDRA","M","29"
"ALEXANDRE","F","9"
"ALEXANDRE","M","128"
"ALEXANDREA","F","420"
"ALEXANDRIA","F","4470"
"ALEXANDRIA","M","11"
"ALEXANDRINA","F","7"
"ALEXANDRO","M","148"
"ALEXANDROS","M","40"
"ALEXANDRU","M","5"
"ALEXANDRYA","F","11"
"ALEXANER","M","6"
"ALEXARAE","F","12"
"ALEXAS","F","19"
"ALEXAUNDRIA","F","6"
"ALEXCIA","F","21"
"ALEXEI","M","5"
"ALEXENDER","M","6"
"ALEXES","F","19"
"ALEXI","F","106"
"ALEXI","M","29"
"ALEXIA","F","464"
"ALEXIAS","F","7"
"ALEXIE","F","25"
"ALEXIE","M","10"
"ALEXINA","F","5"
"ALEXINE","F","5"
"ALEXIO","M","5"
"ALEXIS","F","7010"
"ALEXIS","M","758"
"ALEXISS","F","20"
"ALEXIUS","F","29"
"ALEXIZ","F","5"
"ALEXIZ","M","5"
"ALEXJANDRO","M","7"
"ALEXONDRA","F","5"
"ALEXSA","F","20"
"ALEXSANDER","M","22"
"ALEXSANDRA","F","55"
"ALEXSANDRIA","F","9"
"ALEXSIA","F","9"
"ALEXSIS","F","46"
"ALEXUS","F","199"
"ALEXUS","M","9"
"ALEXX","F","7"
"ALEXX","M","16"
"ALEXXA","F","11"
