"NAME","SEX","COUNT"
"AARON","M","56"
"ABIGAIL","F","7"
"ABINA","F","5"
"ADAM","M","61"
"ADELE","F","16"
"ADELLE","F","3"
"ADRIAN","M","169"
"ADRIENNE","F","22"
"AENGUS","M","8"
"AFRIC","F","3"
"AGNES","F","16"
"AIDAN","M","243"
"AIDEEN","F","56"
"AIDEN","M","32"
"AILBHE","F","19"
"AILEEN","F","92"
"AILIS","F","5"
"AILISH","F","39"
"AIMEE","F","8"
"AINE","F","213"
"AISHLING","F","29"
"AISLING","F","258"
"AISLINN","F","11"
"ALAN","M","815"
"ALANA","F","5"
"ALANNA","F","3"
"ALASTAIR","M","3"
"ALBERT","M","17"
"ALEX","M","4"
"ALEXANDER","M","31"
"ALEXANDRA","F","7"
"ALEXIS","M","3"
"ALFRED","M","5"
"ALICE","F","53"
"ALICIA","F","17"
"ALISON","F","137"
"ALISTAIR","M","4"
"ALLAN","M","19"
"ALLEN","M","20"
"ALLISON","F","16"
"ALMA","F","25"
"ALVA","F","7"
"AMANDA","F","275"
"AMBER","F","7"
"AMIE","F","5"
"AMY","F","120"
"ANASTASIA","F","6"
"ANDREA","F","103"
"ANDREAS","M","3"
"ANDREW","M","359"
"ANGELA","F","124"
"ANGELINA","F","10"
"ANGELINE","F","4"
"ANITA","F","76"
"ANN","F","355"
"ANNA","F","131"
"ANNABEL","F","5"
"ANNABELLE","F","3"
"ANNE","F","356"
"ANNETTE","F","76"
"ANNICK","F","5"
"ANNIE","F","18"
"ANNMARIE","F","9"
"ANTHEA","F","4"
"ANTHONY","M","483"
"ANTOIN","M","3"
"ANTOINETTE","F","46"
"ANTON","M","5"
"ANTONIA","F","5"
"ANTONIO","M","4"
"ANTONY","M","4"
"AODH","M","3"
"AOIBHEANN","F","3"
"AOIFA","F","3"
"AOIFE","F","344"
"AOIFFE","F","4"
"AONGHUS","M","8"
"AONGUS","M","3"
"APRIL","F","10"
"ARLEEN","F","3"
"ARLENE","F","19"
"ARTHUR","M","23"
"ASHLEY","F","5"
"ASHLEY","M","5"
"ASHLING","F","53"
"ASSUMPTA","F","3"
"ASTRID","F","3"
"ATTRACTA","F","4"
"AUBREY","F","3"
"AUDREY","F","137"
"AUGUSTINE","M","5"
"AUSTIN","M","20"
"AVERIL","F","8"
"AVRIL","F","65"
"BAIRBRE","F","4"
"BARBARA","F","92"
"BARRY","M","423"
"BARTHOLOMEW","M","16"
"BEATRICE","F","5"
"BEBHINN","F","8"
"BELINDA","F","12"
"BEN","M","4"
"BENEDICT","M","3"
"BENJAMIN","M","9"
"BERNADETTE","F","176"
"BERNADINE","F","5"
"BERNARD","M","113"
"BERNICE","F","9"
"BEVERLEY","F","7"
"BEVERLY","F","6"
"BIANCA","F","3"
"BLAITHIN","F","7"
"BLANAID","F","5"
"BLATHNAID","F","7"
"BOBBY","M","3"
"BREADA","F","3"
"BREANDAN","M","3"
"BREDA","F","35"
"BREEDA","F","4"
"BREEGE","F","9"
"BREFFNI","F","4"
"BRENDA","F","75"
"BRENDAN","M","372"
"BRIAN","M","944"
"BRID","F","58"
"BRIDGET","F","184"
"BRIDGID","F","3"
"BRIEN","M","5"
"BRIGID","F","57"
"BRITA","F","3"
"BRONA","F","4"
"BRONAGH","F","17"
"BRONWYN","F","5"
"BRYAN","M","71"
"CAITLIN","F","4"
"CAITRIN","F","3"
"CAITRIONA","F","112"
"CANDICE","F","3"
"CANICE","M","3"
"CAOILFHIONN","F","3"
"CAOIMHE","F","23"
"CARA","F","18"
"CARAGH","F","5"
"CAREN","F","6"
"CARINA","F","15"
"CARL","M","30"
"CARLA","F","20"
"CARLENE","F","3"
"CARLOS","M","3"
"CARMEL","F","102"
"CARMEN","F","3"
"CAROL","F","229"
"CAROLE","F","18"
"CAROLINE","F","573"
"CAROLYN","F","38"
"CARRIE","F","28"
"CATHAL","M","135"
"CATHERINA","F","22"
"CATHERINE","F","633"
"CATHERIONA","F","3"
"CATHLEEN","F","3"
"CATHRINA","F","11"
"CATHRIONA","F","35"
"CATHY","F","27"
"CATRINA","F","5"
"CATRIONA","F","124"
"CEARA","F","4"
"CECELIA","F","4"
"CECILIA","F","4"
"CELENE","F","6"
"CELINA","F","7"
"CELINE","F","42"
"CHANTAL","F","3"
"CHARLENE","F","57"
"CHARLES","M","87"
"CHARLOTTE","F","34"
"CHARMAINE","F","4"
"CHERYL","F","21"
"CHLOE","F","4"
"CHRISTIAN","M","23"
"CHRISTINA","F","114"
"CHRISTINE","F","105"
"CHRISTOPHER","M","255"
"CIAN","M","59"
"CIARA","F","352"
"CIARAN","M","297"
"CILLIAN","M","19"
"CINDY","F","5"
"CLAIR","F","15"
"CLAIRE","F","458"
"CLARA","F","7"
"CLARE","F","171"
"CLAUDIA","F","6"
"CLAUDINE","F","6"
"CLEMENT","M","7"
"CLEO","F","3"
"CLIFF","M","3"
"CLIFFORD","M","24"
"CLINT","M","6"
"CLINTON","M","7"
"CLIODHNA","F","6"
"CLIONA","F","48"
"CLIVE","M","32"
"CLODAGH","F","61"
"COLEMAN","M","3"
"COLETTE","F","96"
"COLIN","M","260"
"COLLEEN","F","14"
"COLLETTE","F","12"
"COLM","M","253"
"COLMAN","M","10"
"COLUM","M","19"
"COMAN","M","3"
"CONAL","M","10"
"CONALL","M","5"
"CONAN","M","3"
"CONCEPTA","F","5"
"CONN","M","4"
"CONNOR","M","15"
"CONOR","M","299"
"CONSTANCE","F","3"
"CORA","F","17"
"CORINA","F","11"
"CORINNA","F","8"
"CORINNE","F","3"
"CORMAC","M","104"
"CORNELIUS","M","76"
"CRAIG","M","20"
"CRIONA","F","4"
"CRONA","F","5"
"CRONAN","M","4"
"CYNTHIA","F","5"
"CYRIL","M","16"
"DAIRE","M","16"
"DALE","M","9"
"DAMIAN","M","136"
"DAMIEN","M","339"
"DANA","F","3"
"DANIEL","M","373"
"DANIELLE","F","44"
"DANNY","M","3"
"DAPHNE","F","8"
"DARA","F","3"
"DARA","M","21"
"DARACH","M","3"
"DARAGH","M","33"
"DAREN","M","7"
"DARINA","F","9"
"DARLENE","F","5"
"DARRAGH","M","76"
"DARRAN","M","22"
"DARRELL","M","4"
"DARREN","M","372"
"DARRYL","M","3"
"DARYL","M","7"
"DAVID","M","1740"
"DAVIDA","F","3"
"DAVIN","M","3"
"DAVINA","F","16"
"DAWN","F","52"
"DEAN","M","23"
"DEARBHAIL","F","4"
"DEARBHLA","F","12"
"DEBBIE","F","10"
"DEBORAH","F","211"
"DEBRA","F","6"
"DECLAN","M","348"
"DEIRBHLE","F","3"
"DEIRDRE","F","464"
"DELIA","F","4"
"DEMELZA","F","8"
"DENIS","M","182"
"DENISE","F","279"
"DENNIS","M","9"
"DENVER","M","3"
"DEREK","M","348"
"DERICK","M","9"
"DERMOT","M","166"
"DERMOTT","M","3"
"DERRICK","M","14"
"DERVAL","F","3"
"DERVILLA","F","3"
"DERVLA","F","7"
"DESMOND","M","81"
"DIANA","F","14"
"DIANE","F","55"
"DIANNA","F","3"
"DIANNE","F","3"
"DIARMAID","M","15"
"DIARMUID","M","69"
"DIEGO","M","3"
"DILLON","M","3"
"DOIREANN","F","9"
"DOLORES","F","21"
"DOMHNALL","M","4"
"DOMINIC","M","22"
"DOMINICK","M","9"
"DON","M","6"
"DONAGH","M","10"
"DONAL","M","186"
"DONALD","M","15"
"DONALL","M","3"
"DONNA","F","184"
"DONNACHA","M","10"
"DONNCHA","M","8"
"DONNCHADH","M","7"
"DORA","F","3"
"DOREEN","F","15"
"DOROTHY","F","13"
"DOUGLAS","M","11"
"DUANE","M","3"
"DUNCAN","M","4"
"DWAYNE","M","8"
"DYLAN","M","21"
"DYMPHNA","F","4"
"DYMPNA","F","13"
"EADAOIN","F","15"
"EAMON","M","52"
"EAMONN","M","116"
"EANNA","M","3"
"EAVAN","F","5"
"EDEL","F","225"
"EDELE","F","6"
"EDELLE","F","5"
"EDMOND","M","24"
"EDMUND","M","13"
"EDWARD","M","272"
"EDWIN","M","21"
"EDWINA","F","28"
"EIBHLIN","F","7"
"EIBHLIS","F","3"
"EILEEN","F","140"
"EILIS","F","18"
"EILISH","F","26"
"EIMEAR","F","181"
"EIMER","F","10"
"EITHNE","F","17"
"ELAINE","F","507"
"ELAYNE","F","3"
"ELEANOR","F","55"
"ELENA","F","3"
"ELISA","F","4"
"ELISH","F","3"
"ELISHA","F","3"
"ELIZA","F","4"
"ELIZABETH","F","364"
"ELLA","F","3"
"ELLEN","F","105"
"ELMA","F","5"
"EMER","F","147"
"EMILY","F","104"
"EMIR","F","3"
"EMLYN","M","3"
"EMMA","F","525"
"EMMANUEL","M","3"
"EMMELINE","F","3"
"EMMET","M","51"
"EMMETT","M","19"
"ENA","F","3"
"ENDA","M","122"
"EOGHAIN","M","6"
"EOGHAN","M","75"
"EOIN","M","346"
"ERIC","M","73"
"ERICA","F","24"
"ERIK","M","4"
"ERIKA","F","9"
"ERIN","F","17"
"ERNEST","M","3"
"ESTELLE","F","3"
"ESTHER","F","29"
"ETHEL","F","4"
"ETHNA","F","4"
"EUGENE","M","67"
"EVA","F","42"
"EVAN","M","24"
"EVE","F","15"
"EVELYN","F","63"
"EVIN","M","3"
"EVONNE","F","6"
"FAYE","F","6"
"FEARGHAL","M","8"
"FEARGHUS","M","3"
"FEILIM","M","5"
"FELICITY","F","6"
"FELIX","M","3"
"FERGAL","M","85"
"FERGUS","M","48"
"FIACHRA","M","15"
"FIDELMA","F","13"
"FINBAR","M","17"
"FINBARR","M","44"
"FINIAN","M","9"
"FINNIAN","M","6"
"FINOLA","F","8"
"FINTAN","M","39"
"FIONA","F","499"
"FIONN","M","5"
"FIONNAN","M","3"
"FIONNUALA","F","30"
"FIONNULA","F","3"
"FLANNAN","M","3"
"FLORENCE","F","7"
"FRANCES","F","74"
"FRANCESCA","F","6"
"FRANCESCO","M","3"
"FRANCIS","M","192"
"FRANK","M","14"
"FREDERICK","M","10"
"FRIEDA","F","4"
"GABRIEL","M","11"
"GABRIELLE","F","4"
"GAIL","F","18"
"GALE","F","3"
"GARETH","M","282"
"GARRET","M","21"
"GARRETH","M","48"
"GARRETT","M","54"
"GARRY","M","98"
"GARVAN","M","5"
"GARY","M","298"
"GAVAN","M","6"
"GAVIN","M","230"
"GAYLE","F","14"
"GEAROID","M","33"
"GEMMA","F","105"
"GENEVIEVE","F","10"
"GEOFFREY","M","23"
"GEORGE","M","68"
"GEORGINA","F","65"
"GERALD","M","46"
"GERALDINE","F","174"
"GERARD","M","429"
"GERRARD","M","4"
"GERRY","M","3"
"GERTRUDE","F","6"
"GILLIAN","F","257"
"GINA","F","15"
"GLEN","M","49"
"GLENDA","F","27"
"GLENN","M","52"
"GLORIA","F","10"
"GORDAN","M","4"
"GORDON","M","48"
"GRACE","F","66"
"GRAEME","M","12"
"GRAHAM","M","162"
"GRAINNE","F","195"
"GREG","M","4"
"GREGG","M","4"
"GREGORY","M","62"
"GRETTA","F","5"
"GUY","M","3"
"GWEN","F","7"
"GWENDOLINE","F","8"
"HANNAH","F","13"
"HANORA","F","3"
"HANS","M","5"
"HAROLD","M","5"
"HARRY","M","5"
"HAYLEY","F","6"
"HAZEL","F","67"
"HEATHER","F","26"
"HEIDI","F","6"
"HELEN","F","243"
"HELENA","F","88"
"HELOISE","F","4"
"HENRY","M","32"
"HERBERT","M","4"
"HILARY","F","27"
"HILDA","F","10"
"HONORA","F","4"
"HOWARD","M","4"
"HUBERT","M","4"
"HUGH","M","85"
"HUGO","M","3"
"HUMPHREY","M","5"
"IAIN","M","9"
"IAN","M","271"
"IDE","F","5"
"IMELDA","F","25"
"INGRID","F","16"
"IRENE","F","58"
"IRIS","F","6"
"ISABEL","F","6"
"ISABELLA","F","5"
"ISABELLE","F","4"
"ISEULT","F","5"
"ISLA","F","5"
"ISOBEL","F","7"
"ITA","F","12"
"IVAN","M","43"
"IVOR","M","11"
"JACINTA","F","54"
"JACINTHA","F","6"
"JACK","M","9"
"JACKIE","F","3"
"JACOB","M","3"
"JACQUELINE","F","170"
"JADE","F","4"
"JAMES","M","1087"
"JAMIE","F","3"
"JAMIE","M","33"
"JANE","F","106"
"JANET","F","45"
"JANETTE","F","10"
"JANICE","F","66"
"JANINE","F","11"
"JARLATH","M","17"
"JASON","M","319"
"JAYNE","F","4"
"JEAN","F","98"
"JEANETTE","F","14"
"JEANNE","F","6"
"JEFFERY","M","3"
"JEFFREY","M","24"
"JEMMA","F","6"
"JENA","F","3"
"JENIFER","F","4"
"JENNIFER","F","553"
"JENNY","F","12"
"JEREMIAH","M","73"
"JEREMY","M","14"
"JEROME","M","13"
"JESSICA","F","76"
"JILL","F","27"
"JILLIAN","F","37"
"JIM","M","4"
"JO","F","3"
"JOAN","F","57"
"JOANN","F","11"
"JOANNA","F","49"
"JOANNE","F","319"
"JOELENE","F","3"
"JOHAN","M","3"
"JOHANN","M","6"
"JOHANNA","F","44"
"JOHANNE","F","10"
"JOHN","M","2510"
"JOHNATHAN","M","3"
"JOLENE","F","11"
"JONATHAN","M","401"
"JORDAN","M","3"
"JOSEPH","M","446"
"JOSEPHINE","F","68"
"JOSHUA","M","4"
"JOY","F","18"
"JOYCE","F","25"
"JUANITA","F","5"
"JUDE","F","3"
"JUDITH","F","30"
"JUDY","F","4"
"JULIA","F","42"
"JULIAN","M","14"
"JULIANN","F","3"
"JULIANNE","F","12"
"JULIE","F","145"
"JULIEANN","F","3"
"JULIEN","M","3"
"JULIET","F","8"
"JULIETTE","F","3"
"JUNE","F","27"
"JUSTIN","M","60"
"JUSTINE","F","4"
"KARA","F","6"
"KAREN","F","549"
"KARENA","F","8"
"KARINA","F","23"
"KARL","M","192"
"KARLA","F","8"
"KAROL","F","8"
"KAROL","M","45"
"KAROLINE","F","4"
"KAROLYN","F","3"
"KARYN","F","4"
"KATE","F","56"
"KATHARINE","F","3"
"KATHERINA","F","7"
"KATHERINE","F","69"
"KATHLEEN","F","150"
"KATHRINA","F","9"
"KATHRIONA","F","5"
"KATHRYN","F","44"
"KATHY","F","10"
"KATIE","F","21"
"KATRINA","F","40"
"KATRIONA","F","7"
"KEARA","F","3"
"KEELAN","M","3"
"KEELIN","F","7"
"KEIRA","F","7"
"KEITH","M","453"
"KELLEY","F","17"
"KELLIE","F","7"
"KELLY","F","59"
"KELVIN","M","3"
"KENNETH","M","290"
"KENNY","M","3"
"KERRI","F","4"
"KERRIE","F","14"
"KERRY","F","19"
"KEVIN","M","568"
"KIARA","F","3"
"KIERA","F","5"
"KIERAN","M","263"
"KIERON","M","4"
"KILIAN","M","3"
"KILLIAN","M","23"
"KIM","F","57"
"KIRSTEN","F","3"
"KRIS","M","4"
"KRISTEN","F","3"
"KRISTIN","F","3"
"LANA","F","3"
"LAOISE","F","4"
"LARA","F","6"
"LAURA","F","446"
"LAUREN","F","7"
"LAURENCE","M","82"
"LAURIE","F","3"
"LAVINIA","F","5"
"LAWRENCE","M","12"
"LEA","F","5"
"LEAH","F","25"
"LEANNE","F","42"
"LEE","F","12"
"LEE","M","43"
"LEEANN","F","5"
"LEEANNE","F","4"
"LEIGH","F","10"
"LEIGH","M","5"
"LENA","F","18"
"LEO","M","21"
"LEOINE","F","3"
"LEON","M","21"
"LEONA","F","90"
"LEONARD","M","31"
"LEONE","F","5"
"LEONIE","F","17"
"LEONORA","F","4"
"LESLEY","F","32"
"LESLIE","F","4"
"LESLIE","M","14"
"LEWIS","M","6"
"LIAM","M","231"
"LIANNE","F","5"
"LILIAN","F","6"
"LILLIAN","F","5"
"LINDA","F","347"
"LINDSAY","F","19"
"LINDSEY","F","6"
"LINSEY","F","3"
"LISA","F","586"
"LIZA","F","16"
"LLOYD","M","11"
"LOCHLAINN","M","3"
"LORAINE","F","24"
"LORAINNE","F","4"
"LORCAN","M","32"
"LORETTA","F","11"
"LORETTO","F","3"
"LORNA","F","120"
"LORRAINE","F","440"
"LOUIS","M","17"
"LOUISA","F","17"
"LOUISE","F","598"
"LUCIA","F","3"
"LUCIE","F","3"
"LUCINDA","F","5"
"LUCY","F","35"
"LUKE","M","53"
"LYDIA","F","19"
"LYNDA","F","45"
"LYNDSEY","F","8"
"LYNETTE","F","12"
"LYNN","F","58"
"LYNNE","F","23"
"LYNNETTE","F","4"
"LYNSEY","F","11"
"MAC","M","4"
"MACARTAN","M","3"
"MADELEINE","F","6"
"MADELINE","F","9"
"MADONNA","F","3"
"MAEBH","F","4"
"MAEVE","F","81"
"MAIRE","F","47"
"MAIREAD","F","162"
"MAIRIN","F","3"
"MAJELLA","F","49"
"MALACHY","M","10"
"MALCOLM","M","8"
"MANDY","F","23"
"MANUS","M","9"
"MARC","M","30"
"MARCELLA","F","32"
"MARCUS","M","33"
"MARGARET","F","420"
"MARGUERITA","F","3"
"MARGUERITE","F","42"
"MARIA","F","248"
"MARIAN","F","59"
"MARIANNE","F","21"
"MARIE","F","272"
"MARIEA","F","4"
"MARILYN","F","4"
"MARINA","F","18"
"MARION","F","43"
"MARISA","F","5"
"MARISSA","F","3"
"MARITA","F","9"
"MARJORIE","F","3"
"MARK","M","814"
"MARLENE","F","9"
"MARSHA","F","3"
"MARTHA","F","28"
"MARTIN","M","506"
"MARTINA","F","242"
"MARY","F","964"
"MATHEW","M","6"
"MATTHEW","M","110"
"MAUD","F","4"
"MAUDE","F","3"
"MAURA","F","45"
"MAUREEN","F","43"
"MAURICE","M","82"
"MAXINE","F","4"
"MAY","F","3"
"MEABH","F","3"
"MEGAN","F","5"
"MEL","M","5"
"MELANIE","F","44"
"MELINDA","F","5"
"MELISSA","F","93"
"MELLISA","F","3"
"MELVIN","M","4"
"MERVIN","M","3"
"MERVYN","M","10"
"MICEAL","M","6"
"MICHAEL","M","1426"
"MICHEAL","M","25"
"MICHELE","F","20"
"MICHELLE","F","649"
"MIRANDA","F","5"
"MIRIAM","F","94"
"MOHAMED","M","5"
"MOHAMMED","M","4"
"MOIRA","F","8"
"MONA","F","3"
"MONICA","F","23"
"MORGAN","M","22"
"MORTIMER","M","4"
"MUIREANN","F","18"
"MUIRIS","M","3"
"MURIEL","F","6"
"MYLES","M","13"
"MYRA","F","5"
"NADIA","F","9"
"NADINE","F","14"
"NANCY","F","4"
"NAOIMH","F","3"
"NAOMI","F","44"
"NATALIE","F","60"
"NATASHA","F","66"
"NATHALIE","F","3"
"NATHAN","M","11"
"NEAL","M","13"
"NEASA","F","8"
"NEIL","M","137"
"NEILL","M","10"
"NESSA","F","17"
"NEVILLE","M","14"
"NIAL","M","15"
"NIALL","M","393"
"NIAMH","F","492"
"NICHOLA","F","18"
"NICHOLAS","M","84"
"NICOLA","F","352"
"NICOLAS","M","3"
"NICOLE","F","5"
"NIGEL","M","72"
"NINA","F","12"
"NOEL","M","282"
"NOELEEN","F","27"
"NOELLE","F","59"
"NOIRIN","F","7"
"NOLEEN","F","3"
"NOLLAIG","F","9"
"NORA","F","71"
"NORAH","F","12"
"NOREEN","F","80"
"NORMA","F","32"
"NORMAN","M","7"
"NUALA","F","44"
"ODHRAN","M","7"
"OISIN","M","26"
"OLGA","F","20"
"OLIVE","F","23"
"OLIVER","M","70"
"OLIVIA","F","102"
"OLWEN","F","6"
"OLWYN","F","8"
"OONAGH","F","20"
"ORAN","M","3"
"ORFHLAITH","F","4"
"ORLA","F","361"
"ORLAGH","F","15"
"ORLAITH","F","19"
"ORNA","F","11"
"OWEN","M","102"
"PADHRAIG","M","4"
"PADRAIC","M","48"
"PADRAIG","M","157"
"PADRAIGH","M","11"
"PAMELA","F","330"
"PARAIC","M","7"
"PASCAL","M","7"
"PASCHAL","M","5"
"PATRICE","F","25"
"PATRICIA","F","327"
"PATRICK","M","1218"
"PAUL","M","1262"
"PAULA","F","300"
"PAULINE","F","144"
"PAURIC","M","19"
"PEADAR","M","11"
"PEARL","F","8"
"PEARSE","M","9"
"PEGGY","F","3"
"PETER","M","489"
"PETRINA","F","7"
"PHELIM","M","12"
"PHILIP","M","336"
"PHILIPPA","F","4"
"PHILLIP","M","7"
"PHILOMENA","F","21"
"PHYLLIS","F","6"
"PIARAS","M","4"
"PIERCE","M","15"
