"NAME","SEX","COUNT"
"AARON","F","5"
"AARON","M","477"
"ABBEY","F","5"
"ABBIE","F","57"
"ABBOTT","M","8"
"ABBY","F","21"
"ABE","M","55"
"ABEL","M","87"
"ABELARDO","M","28"
"ABELINA","F","7"
"ABELINO","M","6"
"ABIE","M","15"
"ABIGAIL","F","50"
"ABLE","M","5"
"ABNER","M","49"
"ABRAHAM","M","212"
"ABRAM","M","37"
"ABRAN","M","7"
"ABUNDIO","M","5"
"ACE","M","15"
"ACEY","M","7"
"ACIE","M","18"
"ADA","F","745"
"ADA","M","10"
"ADAH","F","9"
"ADAIR","F","10"
"ADALBERTO","M","11"
"ADALEE","F","7"
"ADALIA","F","7"
"ADALINE","F","6"
"ADAM","M","214"
"ADAMS","M","5"
"ADAN","M","35"
"ADDIE","F","389"
"ADDIE","M","9"
"ADDIS","M","8"
"ADDISON","M","33"
"ADEAN","F","5"
"ADEL","F","13"
"ADELA","F","75"
"ADELAIDA","F","10"
"ADELAIDE","F","117"
"ADELAIDO","M","9"
"ADELARD","M","9"
"ADELBERT","M","20"
"ADELE","F","371"
"ADELENE","F","14"
"ADELFA","F","8"
"ADELIA","F","38"
"ADELINA","F","47"
"ADELINE","F","238"
"ADELITA","F","5"
"ADELL","F","74"
"ADELL","M","13"
"ADELLA","F","39"
"ADELLE","F","25"
"ADELYN","F","7"
"ADEN","M","14"
"ADENE","F","7"
"ADLEAN","F","6"
"ADLENE","F","6"
"ADLEY","M","5"
"ADLINE","F","10"
"ADOLF","M","13"
"ADOLFO","M","61"
"ADOLPH","M","188"
"ADOLPHE","M","6"
"ADOLPHO","M","6"
"ADOLPHUS","M","56"
"ADONNA","F","8"
"ADORA","F","6"
"ADRA","F","5"
"ADRAIN","M","15"
"ADRIA","F","6"
"ADRIAN","F","29"
"ADRIAN","M","247"
"ADRIANA","F","17"
"ADRIANNA","F","5"
"ADRIANNE","F","40"
"ADRIEN","M","13"
"ADRIENE","F","6"
"ADRIENNE","F","323"
"ADRON","M","8"
"AFTON","F","14"
"AFTON","M","10"
"AGAPITA","F","9"
"AGAPITO","M","19"
"AGATHA","F","80"
"AGGIE","F","27"
"AGNES","F","1393"
"AGNESS","F","16"
"AGOSTINO","M","6"
"AGRIPINA","F","5"
"AGUSTIN","M","50"
"AGUSTINA","F","18"
"AIDA","F","46"
"AIKO","F","8"
"AILEEN","F","144"
"AILENE","F","27"
"AIME","M","8"
"AIMEE","F","9"
"AKIKO","F","6"
"AKIRA","M","8"
"AL","F","6"
"AL","M","193"
"ALA","F","5"
"ALAINE","F","5"
"ALAN","M","2241"
"ALAYNE","F","10"
"ALBA","F","24"
"ALBEN","M","19"
"ALBERT","F","26"
"ALBERT","M","5792"
"ALBERTA","F","959"
"ALBERTA","M","9"
"ALBERTHA","F","69"
"ALBERTINA","F","12"
"ALBERTINE","F","25"
"ALBERTO","M","104"
"ALBERTUS","M","9"
"ALBIN","M","46"
"ALBINA","F","16"
"ALBINO","M","13"
"ALBIRTHA","F","5"
"ALCARIO","M","5"
"ALCIDE","M","13"
"ALCUIN","M","8"
"ALCUS","M","5"
"ALDA","F","51"
"ALDEAN","F","14"
"ALDEAN","M","7"
"ALDEN","M","119"
"ALDENE","F","10"
"ALDINE","F","18"
"ALDINE","M","6"
"ALDO","M","38"
"ALDON","M","16"
"ALDORA","F","7"
"ALEAN","F","22"
"ALEANE","F","6"
"ALEASE","F","22"
"ALEATHA","F","10"
"ALEC","M","25"
"ALECIA","F","6"
"ALEDA","F","7"
"ALEEN","F","20"
"ALEENE","F","8"
"ALEJANDRA","F","5"
"ALEJANDRO","M","61"
"ALEJO","M","7"
"ALENA","F","15"
"ALENE","F","134"
"ALETA","F","38"
"ALETHA","F","63"
"ALETHEA","F","13"
"ALETHIA","F","22"
"ALETTA","F","11"
"ALEX","F","5"
"ALEX","M","603"
"ALEXANDER","F","7"
"ALEXANDER","M","665"
"ALEXANDRA","F","66"
"ALEXANDRIA","F","19"
"ALEXIS","M","5"
"ALF","M","13"
"ALFERD","M","16"
"ALFONS","M","6"
"ALFONSA","M","6"
"ALFONSE","M","13"
"ALFONSO","M","291"
"ALFONZA","M","15"
"ALFONZO","M","22"
"ALFORD","M","68"
"ALFRED","F","19"
"ALFRED","M","3007"
"ALFREDA","F","108"
"ALFREDIA","F","15"
"ALFREDO","M","171"
"ALFREIDA","F","8"
"ALFRETTA","F","7"
"ALFRIEDA","F","7"
"ALGER","M","10"
"ALGERINE","F","5"
"ALGERNON","M","6"
"ALGIE","F","7"
"ALGIE","M","18"
"ALI","M","7"
"ALICE","F","7490"
"ALICE","M","31"
"ALICETEEN","F","5"
"ALICIA","F","313"
"ALIDA","F","26"
"ALIENE","F","12"
"ALINA","F","7"
"ALINDA","F","8"
"ALINE","F","134"
"ALISE","F","5"
"ALISON","F","43"
"ALITA","F","8"
"ALIX","F","12"
"ALLA","F","13"
"ALLAN","F","9"
"ALLAN","M","1541"
"ALLARD","M","10"
"ALLEAN","F","25"
"ALLEEN","F","9"
"ALLEGRA","F","10"
"ALLEN","F","19"
"ALLEN","M","2833"
"ALLENA","F","8"
"ALLENE","F","108"
"ALLIE","F","152"
"ALLIE","M","32"
"ALLINE","F","20"
"ALLISON","F","27"
"ALLISON","M","33"
"ALLYN","F","6"
"ALLYN","M","40"
"ALLYNE","F","9"
"ALMA","F","1556"
"ALMA","M","34"
"ALMARIE","F","11"
"ALMEDA","F","42"
"ALMEDIA","F","10"
"ALMER","F","11"
"ALMER","M","8"
"ALMETA","F","35"
"ALMETTA","F","6"
"ALMIRA","F","10"
"ALMON","M","27"
"ALMOND","M","8"
"ALMUS","M","6"
"ALMYRA","F","5"
"ALOHA","F","18"
"ALOIS","F","10"
"ALOIS","M","30"
"ALONA","F","6"
"ALONZA","M","31"
"ALONZO","M","233"
"ALOYS","M","8"
"ALOYSIUS","M","50"
"ALPHA","F","71"
"ALPHA","M","18"
"ALPHEUS","M","8"
"ALPHIA","F","7"
"ALPHONCE","M","5"
"ALPHONS","M","5"
"ALPHONSA","M","6"
"ALPHONSE","M","107"
"ALPHONSO","M","136"
"ALPHONZA","M","16"
"ALPHONZO","M","12"
"ALPHUS","M","7"
"ALSON","M","7"
"ALSTON","M","13"
"ALTA","F","301"
"ALTAGRACIA","F","7"
"ALTAMESE","F","8"
"ALTHA","F","33"
"ALTHEA","F","119"
"ALTIE","F","9"
"ALTO","M","6"
"ALTON","F","5"
"ALTON","M","765"
"ALVA","F","100"
"ALVA","M","156"
"ALVAH","M","19"
"ALVAN","M","14"
"ALVARO","M","15"
"ALVEDA","F","11"
"ALVEN","M","13"
"ALVENA","F","15"
"ALVENIA","F","13"
"ALVERA","F","23"
"ALVERDA","F","9"
"ALVERNA","F","17"
"ALVERTA","F","24"
"ALVESTER","M","10"
"ALVETA","F","5"
"ALVIA","F","5"
"ALVIA","M","8"
"ALVIE","F","8"
"ALVIE","M","70"
"ALVIN","F","6"
"ALVIN","M","2061"
"ALVINA","F","80"
"ALVINO","M","7"
"ALVIRA","F","11"
"ALVIS","F","5"
"ALVIS","M","82"
"ALWIN","M","10"
"ALWYN","M","9"
"ALYCE","F","254"
"ALYN","M","5"
"ALYNE","F","6"
"ALYS","F","12"
"ALZADA","F","7"
"ALZINA","F","6"
"AMA","F","7"
"AMADA","F","16"
"AMADEO","M","10"
"AMADO","M","23"
"AMADOR","M","28"
"AMALIA","F","39"
"AMANDA","F","192"
"AMARYLLIS","F","11"
"AMBER","F","21"
"AMBROSE","M","67"
"AMBROSIO","M","7"
"AMEDEO","M","6"
"AMELIA","F","570"
"AMERICA","F","14"
"AMERICO","M","12"
"AMERIGO","M","7"
"AMES","M","7"
"AMIE","F","24"
"AMIL","M","6"
"AMMIE","F","17"
"AMMON","M","7"
"AMON","M","17"
"AMOS","M","296"
"AMPARO","F","43"
"AMY","F","354"
"ANA","F","79"
"ANABEL","F","5"
"ANACLETO","M","8"
"ANANIAS","M","9"
"ANASTACIA","F","7"
"ANASTACIO","M","29"
"ANASTASIA","F","37"
"ANCEL","M","11"
"ANCIL","M","19"
"ANDERSON","M","93"
"ANDRA","F","14"
"ANDRE","F","6"
"ANDRE","M","110"
"ANDREA","F","428"
"ANDREA","M","7"
"ANDREAS","M","9"
"ANDREE","F","25"
"ANDRES","M","80"
"ANDREW","F","8"
"ANDREW","M","2408"
"ANDY","M","243"
"ANETA","F","11"
"ANETTA","F","9"
"ANGEL","F","14"
"ANGEL","M","91"
"ANGELA","F","717"
"ANGELA","M","11"
"ANGELENA","F","6"
"ANGELENE","F","17"
"ANGELIA","F","15"
"ANGELICA","F","40"
"ANGELINA","F","311"
"ANGELINE","F","234"
"ANGELITA","F","97"
"ANGELLA","F","5"
"ANGELO","M","376"
"ANGELYN","F","14"
