"NAME","SEX","COUNT"
"Aaron","M","146"
"Abbey","F","3"
"Abbi","F","4"
"Abbie","F","43"
"Abby","F","16"
"Abdallah","M","5"
"Abdullah","M","4"
"Abigail","F","40"
"Adam","M","321"
"Adele","F","6"
"Adrian","M","3"
"Ahmed","M","4"
"Aidan","M","36"
"Aideen","F","4"
"Aiden","M","3"
"Aileen","F","6"
"Ailis","F","4"
"Ailise","F","3"
"Aimee","F","107"
"Aine","F","56"
"Aiobheann","F","3"
"Aisling","F","28"
"Aislinn","F","15"
"Alan","M","11"
"Alana","F","33"
"Alanna","F","20"
"Alannah","F","8"
"Alastair","M","4"
"Alex","F","33"
"Alex","M","25"
"Alexander","M","54"
"Alexandra","F","42"
"Alexandria","F","6"
"Alexis","F","3"
"Alice","F","39"
"Alicia","F","15"
"Alisha","F","11"
"Alison","F","5"
"Alistair","M","3"
"Alyssa","F","3"
"Amanda","F","6"
"Amber","F","22"
"Amelia","F","7"
"Ami","F","3"
"Amie","F","6"
"Amy","F","183"
"Amy-Leigh","F","3"
"Ana","F","4"
"Andrea","F","11"
"Andrew","M","133"
"Angel","F","8"
"Angela","F","4"
"Angus","M","6"
"Anita","F","3"
"Ann","F","4"
"Anna","F","152"
"Annabel","F","4"
"Anne","F","3"
"Annie","F","26"
"Anthony","M","24"
"Antoin","M","3"
"Anton","M","6"
"Antonia","F","5"
"Antony","M","3"
"Anya","F","5"
"Aodhan","M","16"
"Aoibheann","F","11"
"Aoibhin","F","7"
"Aoibhinn","F","8"
"Aoife","F","124"
"Aoise","F","3"
"Ashleigh","F","7"
"Ashley","F","9"
"Ashley","M","3"
"Austin","M","3"
"Ava","F","6"
"Bailey","M","13"
"Barry","M","10"
"Ben","M","131"
"Benjamin","M","69"
"Bernard","M","7"
"Beth","F","46"
"Bethany","F","64"
"Billie","F","6"
"Billie-Jo","F","3"
"Billy","M","5"
"Blaine","M","3"
"Blaithin","F","4"
"Blake","M","6"
"Blanaid","F","3"
"Bobby","M","6"
"Brad","M","11"
"Bradley","M","34"
"Brandon","M","54"
"Breanna","F","3"
"Brendan","M","20"
"Brenna","F","7"
"Brett","M","4"
"Brian","M","26"
"Brianna","F","6"
"Bridget","F","3"
"Briege","F","3"
"Brogan","F","5"
"Brogan","M","4"
"Bronagh","F","31"
"Brooke","F","24"
"Brooklyn","F","6"
"Brooklyn","M","8"
"Caelan","M","7"
"Cahal","M","3"
"Cahir","M","11"
"Cai","M","3"
"Cailean","M","4"
"Cain","M","11"
"Caithlin","F","4"
"Caitilin","F","3"
"Caitlain","F","4"
"Caitlin","F","223"
"Caitlyn","F","17"
"Caitriona","F","6"
"Cal","M","3"
"Caleb","M","18"
"Callum","M","94"
"Calum","M","16"
"Calvin","M","11"
"Cameron","M","94"
"Caoimhe","F","80"
"Caoimhin","M","21"
"Caolan","M","72"
"Caolin","M","5"
"Cara","F","71"
"Caragh","F","3"
"Carl","M","5"
"Carla","F","21"
"Carly","F","12"
"Caroline","F","11"
"Carrie","F","4"
"Carson","M","4"
"Carter","M","15"
"Casey","F","16"
"Casey","M","5"
"Cassie","F","4"
"Cathair","M","3"
"Cathal","M","27"
"Cathaoir","M","4"
"Catherine","F","65"
"Catrina","F","3"
"Catriona","F","6"
"Ceara","F","3"
"Cerys","F","6"
"Chantelle","F","14"
"Charis","F","4"
"Charlene","F","4"
"Charles","M","19"
"Charley","F","7"
"Charlie","F","7"
"Charlie","M","15"
"Charlotte","F","52"
"Charmaine","F","3"
"Che","M","5"
"Chelsea","F","35"
"Cherith","F","3"
"Chloe","F","311"
"Chole","F","3"
"Christian","M","12"
"Christina","F","13"
"Christine","F","9"
"Christopher","M","114"
"Cian","M","21"
"Ciara","F","97"
"Ciaran","M","97"
"Ciarnan","M","3"
"Ciaron","M","3"
"Ciarrai","F","3"
"Cillian","M","5"
"Claire","F","47"
"Clara","F","20"
"Clare","F","28"
"Claudia","F","8"
"Cleo","F","3"
"Cliodhna","F","41"
"Cliona","F","18"
"Clodagh","F","26"
"Codie","F","5"
"Cody","F","7"
"Cody","M","4"
"Colin","M","13"
"Colleen","F","12"
"Colm","M","16"
"Colum","M","3"
"Conal","M","12"
"Conall","M","30"
"Conan","M","15"
"Conleth","M","3"
"Conn","M","9"
"Connie","F","8"
"Connor","M","87"
"Conor","M","227"
"Cora","F","16"
"Coran","M","3"
"Corey","M","44"
"Cormac","M","45"
"Corrie","M","3"
"Cory","M","9"
"Courtney","F","78"
"Craig","M","25"
"Cristin","F","3"
"Crystal","F","3"
"Curtis","M","33"
"Daire","M","17"
"Daisy","F","6"
"Daithi","M","3"
"Dale","M","11"
"Dan","M","3"
"Dana","F","3"
"Dane","M","4"
"Daniel","M","186"
"Danielle","F","40"
"Dara","F","5"
"Dara","M","19"
"Darach","M","3"
"Daragh","M","4"
"Darragh","M","40"
"Darren","M","30"
"Darryl","M","3"
"Daryl","M","7"
"David","M","137"
"Dean","M","38"
"Dearbhail","F","5"
"Dearbhla","F","23"
"Deborah","F","4"
"Declan","M","51"
"Demi","F","13"
"Demi-Lee","F","6"
"Demi-Leigh","F","4"
"Denver","M","4"
"Dermot","M","4"
"Dervla","F","8"
"Desmond","M","5"
"Diarmaid","M","5"
"Diarmuid","M","12"
"Dillon","M","10"
"Dion","F","3"
"Dionne","F","4"
"Dominic","M","9"
"Donal","M","9"
"Donovan","M","3"
"Drew","M","5"
"Dylan","M","197"
"Eabha","F","3"
"Eadaoin","F","5"
"Eamon","M","12"
"Eamonn","M","7"
"Ebony","F","6"
"Eden","F","6"
"Edward","M","10"
"Eileen","F","3"
"Eilis","F","6"
"Eimear","F","66"
"Eimhear","F","5"
"Eireann","F","6"
"Eirinn","F","6"
"Eleanor","F","7"
"Elena","F","4"
"Elise","F","4"
"Elisha","F","6"
"Elizabeth","F","29"
"Ella","F","26"
"Elle","F","7"
"Ellen","F","97"
"Ellie","F","78"
"Elliott","M","5"
"Eloise","F","3"
"Emer","F","21"
"Emily","F","106"
"Emma","F","229"
"Emma-Louise","F","6"
"Emmet","M","12"
"Emmett","M","3"
"Enda","M","5"
"Enya","F","5"
"Eoghan","M","34"
"Eoin","M","105"
"Erin","F","152"
"Erinn","F","3"
"Esther","F","4"
"Ethan","M","155"
"Euan","M","19"
"Eugene","M","4"
"Eunan","M","8"
"Eva","F","47"
"Evan","M","10"
"Eve","F","59"
"Evie","F","8"
"Ewan","M","20"
"Faith","F","16"
"Faye","F","9"
"Fearghal","M","6"
"Fergal","M","11"
"Fergus","M","6"
"Finlay","M","7"
"Finn","M","13"
"Fintan","M","8"
"Fiona","F","9"
"Fionan","M","4"
"Fionn","M","9"
"Fionntan","M","9"
"Fionnuala","F","15"
"Frances","F","5"
"Francesca","F","3"
"Francis","M","13"
"Fraser","M","3"
"Frazer","M","3"
"Frederick","M","5"
"Gabriel","M","4"
"Gabrielle","F","6"
"Gareth","M","30"
"Gary","M","36"
"Gavin","M","20"
"Gemma","F","23"
"George","M","22"
"Georgia","F","45"
"Georgina","F","8"
"Geraldine","F","3"
"Gerard","M","30"
"Gillian","F","4"
"Gina","F","3"
"Glen","M","11"
"Glenn","M","12"
"Grace","F","55"
"Graeme","M","3"
"Graham","M","3"
"Grainne","F","15"
"Hannah","F","209"
"Harriet","F","4"
"Harrison","M","6"
"Harry","M","77"
"Harvey","M","8"
"Hayden","M","3"
"Hayley","F","4"
"Heather","F","9"
"Heidi","F","4"
"Helen","F","10"
"Helena","F","3"
"Henry","M","11"
"Hollie","F","24"
"Holly","F","67"
"Hugh","M","3"
"Ian","M","8"
"Imogen","F","8"
"India","F","3"
"Iona","F","4"
"Isaac","M","14"
"Isabel","F","4"
"Isabella","F","10"
"Isobel","F","3"
"Jack","M","384"
"Jackson","M","6"
"Jacob","M","29"
"Jacqueline","F","4"
"Jade","F","82"
"Jai","M","4"
"Jaime","M","3"
"Jake","M","95"
"James","M","247"
"Jamie","F","9"
"Jamie","M","170"
"Jamie-Lee","F","6"
"Jane","F","14"
"Jared","M","4"
"Jarlath","M","5"
"Jasmin","F","6"
"Jasmine","F","14"
"Jason","M","49"
"Jay","M","38"
"Jayne","F","6"
"Jemma","F","13"
"Jenna","F","12"
"Jenni","F","4"
"Jennifer","F","23"
"Jenny","F","11"
"Jessica","F","107"
"Jessie","F","4"
"Jill","F","7"
"Joanna","F","9"
"Joanne","F","5"
"Jodi","F","7"
"Jodie","F","49"
"Jodie-Lee","F","3"
"Jody","F","3"
"Joe","M","10"
"Joel","M","61"
"John","M","131"
"Johnathan","M","3"
"Johnathon","M","3"
"Johnny","M","3"
"Jonah","M","4"
"Jonathan","M","80"
"Jonathon","M","5"
"Jordan","F","29"
"Jordan","M","139"
"Jordan-Lee","M","3"
"Jordon","M","6"
"Jordyn","F","7"
"Joseph","M","93"
"Josh","M","50"
"Joshua","M","197"
"Joss","M","3"
"Joy","F","4"
"Jude","F","4"
"Jude","M","20"
"Judith","F","3"
"Julia","F","18"
"Julie","F","6"
"Justin","M","10"
"Kaci","F","6"
"Kai","M","8"
"Kain","M","4"
"Kaitlin","F","14"
"Kaitlyn","F","21"
"Kane","M","9"
"Kara","F","9"
"Karen","F","11"
"Karl","M","14"
"Karla","F","7"
"Kate","F","25"
"Katelyn","F","16"
"Katherine","F","18"
"Kathleen","F","10"
"Kathryn","F","37"
"Katie","F","164"
"Katie-Lee","F","3"
"Katlyn","F","5"
"Katy","F","14"
"Kayla","F","6"
"Kaylee","F","3"
"Kayleigh","F","13"
"Kealan","M","9"
"Keelan","M","20"
"Keeley","F","6"
"Keely","F","5"
"Keeva","F","7"
"Keisha","F","4"
"Keith","M","5"
"Kellie","F","4"
"Kelly","F","12"
"Kelsey","F","11"
"Kenneth","M","3"
"Keri","F","8"
"Kerri","F","15"
"Kerrie","F","11"
"Kerry","F","13"
"Kevin","M","38"
"Kian","M","16"
"Kieran","M","20"
"Killian","M","3"
"Kimberley","F","5"
"Kira","F","3"
"Kirsten","F","12"
"Kirstie","F","3"
"Kirsty","F","45"
"Kris","M","3"
"Kristen","F","3"
"Kristian","M","5"
"Kristin","F","3"
"Kurtis","M","7"
"Kyle","M","93"
"Kyran","M","3"
"Lana","F","6"
"Laoise","F","5"
"Lara","F","20"
"Laura","F","104"
"Lauren","F","234"
"Lauryn","F","10"
"Leah","F","110"
"Leanne","F","9"
"Lee","M","44"
"Lena","F","4"
"Leo","M","10"
"Leon","M","14"
"Leona","F","12"
"Levi","M","3"
"Lewis","M","79"
"Lia","F","4"
"Liam","M","62"
"Lily","F","9"
"Lisa","F","21"
"Logan","M","10"
"Lois","F","16"
"Lorcan","M","27"
"Lorna","F","7"
"Louie","M","4"
"Louis","M","27"
"Louisa","F","3"
"Louise","F","39"
"Luc","M","4"
"Luca","M","7"
"Lucas","M","11"
"Lucia","F","10"
"Lucie","F","8"
"Lucy","F","106"
"Luke","M","149"
"Lydia","F","18"
"Lyndsey","F","3"
"Madeleine","F","4"
"Madison","F","19"
"Maeve","F","21"
"Maia","F","5"
"Mairead","F","10"
"Majella","F","3"
"Malachy","M","5"
"Marc","M","24"
"Marcus","M","10"
"Margaret","F","6"
"Maria","F","35"
"Marie","F","7"
"Marina","F","3"
"Mark","M","136"
"Marshall","M","3"
"Martha","F","3"
"Martin","M","43"
"Martina","F","5"
"Mary","F","32"
"Mason","M","8"
"Mathew","M","3"
"Matthew","M","344"
"Max","M","28"
"Maxwell","M","3"
"Meabh","F","16"
"Meadhbh","F","3"
"Meaghan","F","3"
"Megan","F","221"
"Meghan","F","11"
"Melanie","F","3"
"Melissa","F","18"
"Mia","F","25"
"Miceal","M","5"
"Michael","M","185"
"Michaela","F","9"
"Micheal","M","18"
"Michelle","F","16"
"Mitchell","M","7"
"Mohamed","M","3"
"Mohammad","M","3"
"Mohammed","M","3"
"Mollie","F","24"
"Molly","F","95"
"Morgan","F","36"
"Morgan","M","13"
"Mya","F","13"
"Myles","M","4"
"Nadia","F","5"
"Nadine","F","8"
"Nakita","F","3"
"Naoise","F","7"
"Naomh","F","4"
"Naomi","F","41"
"Natalia","F","4"
"Natalie","F","18"
"Natasha","F","30"
"Nathan","M","120"
"Nathanael","M","3"
"Nathaniel","M","4"
"Neil","M","17"
"Neve","F","5"
"Nial","M","3"
"Niall","M","84"
"Niambh","F","4"
"Niamh","F","169"
"Nicholas","M","14"
"Nicola","F","12"
"Nicole","F","112"
"Nikita","F","14"
"Nikki","F","3"
"Nina","F","3"
"Nisha","F","3"
"Noah","M","4"
"Noel","M","8"
"Norman","M","4"
"Nuala","F","6"
"Odhran","M","48"
"Oisin","M","98"
"Oliver","M","38"
"Olivia","F","81"
"Omar","M","4"
"Oonagh","F","6"
"Oran","M","55"
"Ordhan","M","3"
"Orla","F","58"
"Orlagh","F","19"
"Orlaigh","F","3"
"Orlaith","F","32"
"Owen","M","51"
"Padraic","M","3"
"Padraig","M","32"
"Paige","F","18"
"Paris","F","3"
"Patrice","F","4"
"Patricia","F","4"
"Patrick","M","114"
"Paul","M","66"
"Paula","F","5"
"Pauric","M","3"
"Peadar","M","4"
"Pearce","M","3"
"Pearse","M","25"
"Peter","M","85"
"Phelim","M","5"
"Philip","M","34"
"Philippa","F","3"
"Phillip","M","7"
"Phoebe","F","8"
"Piaras","M","4"
"Pierce","M","7"
"Poppy","F","4"
"Rachael","F","57"
"Rachel","F","169"
"Rebecca","F","191"
"Rebekah","F","53"
"Reece","M","80"
"Regan","F","9"
"Regan","M","4"
"Reuben","M","14"
"Rhianna","F","7"
"Rhiannon","F","16"
"Rhona","F","3"
"Rhys","M","48"
"Riain","M","4"
"Rian","M","11"
"Richard","M","28"
"Riley","M","3"
"Riona","F","9"
"Robbie","M","17"
"Robert","M","56"
"Robin","M","4"
"Robyn","F","33"
"Roise","F","4"
"Roisin","F","28"
"Roma","F","3"
"Ronan","M","80"
"Rory","M","65"
"Rosa","F","5"
"Rose","F","10"
"Rosie","F","10"
"Ross","M","57"
"Roy","M","3"
"Ruairi","M","45"
"Ruby","F","7"
"Russell","M","7"
"Ruth","F","27"
"Ryan","M","288"
"Sabrina","F","3"
"Sacha","F","4"
"Saffron","F","5"
"Sally","F","6"
"Sam","M","31"
"Samantha","F","23"
"Samara","F","3"
"Samuel","M","103"
"Saoirse","F","14"
"Sara","F","8"
"Sarah","F","200"
"Sarah-Louise","F","5"
"Sasha","F","17"
"Saul","M","5"
"Scott","M","81"
"Seamus","M","21"
"Sean","M","164"
"Seana","F","4"
"Serena","F","9"
"Shane","M","63"
"Shania","F","7"
"Shanice","F","3"
"Shannen","F","4"
"Shannon","F","113"
"Shantelle","F","3"
"Sharon","F","3"
"Shaun","M","8"
"Shauna","F","33"
"Shay","M","17"
"Shea","M","56"
"Shelby","F","5"
"Shelly","F","3"
"Shona","F","11"
"Sian","F","9"
"Sifn","F","3"
"Simon","M","18"
"Sinead","F","15"
"Siobhan","F","5"
"Siofra","F","6"
"Sol","M","4"
"Sophia","F","6"
"Sophie","F","146"
"Sorcha","F","12"
"Stacey","F","8"
"Stefan","M","5"
"Stephanie","F","19"
"Stephen","M","69"
"Steven","M","24"
"Stewart","M","7"
"Stuart","M","22"
"Summer","F","3"
"Susan","F","4"
"Suzanne","F","4"
"Tadhg","M","3"
"Tamara","F","3"
"Tammie","F","3"
"Tamzin","F","7"
"Tanisha","F","4"
"Tanya","F","4"
"Tara","F","45"
"Taylor","F","30"
"Taylor","M","31"
"Tegan","F","10"
"Terence","M","6"
"Tess","F","3"
"Theo","M","4"
"Theodore","M","4"
"Therese","F","7"
"Thomas","M","196"
"Tia","F","16"
"Tianna","F","3"
"Tiarna","F","7"
"Tiarnach","M","4"
"Tiarnan","M","48"
"Tiegan","F","3"
"Tierna","F","13"
"Tiernagh","F","3"
"Tiernan","M","47"
"Tiffany","F","6"
"Timothy","M","28"
"Toby","M","8"
"Todd","M","3"
"Tom","M","28"
"Tomas","M","10"
"Toni","F","12"
"Tony","M","5"
"Tori","F","16"
"Travis","M","12"
"Trevor","M","5"
"Trinity","F","3"
"Tristan","M","10"
"Troy","M","7"
"Turlough","M","5"
"Tyler","F","7"
"Tyler","M","45"
"Tyrone","M","3"
"Ultan","M","3"
"Una","F","10"
"Victoria","F","66"
"Vincent","M","3"
"Warren","M","3"
"Wayne","M","4"
"William","M","108"
"Wilson","M","3"
"Yasmin","F","10"
"Zac","M","6"
"Zach","M","7"
"Zachary","M","3"
"Zack","M","7"
"Zak","M","8"
"Zara","F","47"
"Zoe","F","72"
