"NAME","SEX","COUNT"
"AALIYAH","F","13"
"AARAN","M","3"
"AARAV","M","3"
"AARON","M","444"
"AAYAN","M","3"
"ABAIGH","F","3"
"ABBEY","F","57"
"ABBI","F","10"
"ABBIE","F","176"
"ABBY","F","59"
"ABDELRAHMAN","M","4"
"ABDULLAH","M","13"
"ABEL","M","4"
"ABHINAV","M","3"
"ABI","F","30"
"ABIEL","M","3"
"ABIGAIL","F","165"
"ABIGALE","F","4"
"ABRAHAM","M","6"
"ADA","F","11"
"ADAM","M","618"
"ADDISON","F","18"
"ADELE","F","5"
"ADEN","M","4"
"ADITI","F","3"
"ADRIAN","M","67"
"ADRIANA","F","14"
"ADRIANNA","F","8"
"ADRIJA","F","4"
"ADRIJUS","M","6"
"AEDAN","M","4"
"AEDIN","F","3"
"AELA","F","5"
"AGATA","F","8"
"AGNES","F","5"
"AGNIESZKA","F","3"
"AHMAD","M","13"
"AHMED","M","18"
"AIBHE","F","12"
"AIBHLINN","F","3"
"AIDA","F","5"
"AIDAN","M","197"
"AIDEEN","F","15"
"AIDEN","M","27"
"AIFRIC","F","8"
"AILBHE","F","58"
"AILEEN","F","4"
"AILISH","F","13"
"AIMEE","F","152"
"AINE","F","159"
"AIRIDAS","M","3"
"AIRONAS","M","3"
"AISHA","F","12"
"AISHLING","F","7"
"AISHLINN","F","3"
"AISLING","F","170"
"AISLINN","F","15"
"AISTE","F","4"
"AJAY","M","11"
"AKVILE","F","3"
"ALAINA","F","3"
"ALAN","M","138"
"ALANA","F","38"
"ALANAH","F","7"
"ALANNA","F","66"
"ALANNAH","F","123"
"ALBERT","M","9"
"ALBHA","F","3"
"ALEC","M","6"
"ALEESHA","F","6"
"ALEISHA","F","8"
"ALEKS","M","6"
"ALEKSANDAR","M","3"
"ALEKSANDER","M","39"
"ALEKSANDR","M","4"
"ALEKSANDRA","F","56"
"ALENA","F","4"
"ALESHA","F","34"
"ALESSANDRO","M","4"
"ALESSIA","F","4"
"ALESSIO","M","6"
"ALEX","F","50"
"ALEX","M","503"
"ALEXA","F","13"
"ALEXANDER","M","179"
"ALEXANDRA","F","92"
"ALEXANDRIA","F","8"
"ALEXANDRU","M","8"
"ALEXIA","F","13"
"ALEXIS","F","19"
"ALFIE","M","68"
"ALFRED","M","6"
"ALI","F","42"
"ALI","M","18"
"ALICE","F","95"
"ALICIA","F","43"
"ALICJA","F","35"
"ALINA","F","15"
"ALISA","F","9"
"ALISHA","F","51"
"ALISHBA","F","3"
"ALISON","F","48"
"ALISSA","F","5"
"ALIYA","F","3"
"ALIYAH","F","5"
"ALLANAH","F","3"
"ALLEN","M","3"
"ALLIE","F","14"
"ALLISON","F","3"
"ALLY","F","19"
"ALVA","F","7"
"ALVIN","M","3"
"ALYSON","F","4"
"ALYSSA","F","18"
"AMALIA","F","3"
"AMANDA","F","19"
"AMBER","F","100"
"AMELIA","F","197"
"AMELIE","F","41"
"AMELIJA","F","4"
"AMI","F","3"
"AMIE","F","10"
"AMIEE","F","6"
"AMINA","F","12"
"AMIR","M","5"
"AMIRA","F","7"
"AMNA","F","3"
"AMY","F","385"
"ANA","F","23"
"ANABELLE","F","6"
"ANAIS","F","3"
"ANAND","M","3"
"ANASTASIA","F","9"
"ANASTASIJA","F","3"
"ANASTAZJA","F","4"
"ANDIE","F","3"
"ANDRE","M","6"
"ANDREA","F","49"
"ANDREAS","M","3"
"ANDREI","M","4"
"ANDREJS","M","3"
"ANDREW","M","159"
"ANDRIS","M","3"
"ANDRIUS","M","3"
"ANDY","M","11"
"ANETA","F","6"
"ANGEL","F","20"
"ANGELA","F","16"
"ANGELICA","F","3"
"ANGELIKA","F","11"
"ANGELINA","F","13"
"ANGELO","M","4"
"ANIELA","F","3"
"ANITA","F","7"
"ANN","F","22"
"ANN MARIE","F","4"
"ANNA","F","357"
"ANNA MARIA","F","5"
"ANNA MARIE","F","4"
"ANNABEL","F","21"
"ANNABELLE","F","19"
"ANNALEIGH","F","4"
"ANNALISE","F","9"
"ANNE","F","11"
"ANNIE","F","61"
"ANNMARIE","F","4"
"ANOUSHKA","F","3"
"ANTHONY","M","100"
"ANTON","M","9"
"ANTONI","M","32"
"ANTONINA","F","15"
"ANTONIO","M","7"
"AOBH","F","3"
"AOBHA","F","4"
"AODAN","M","5"
"AODHAN","M","27"
"AODHBHA","F","3"
"AOIBH","F","10"
"AOIBHE","F","118"
"AOIBHEANN","F","88"
"AOIBHIN","F","37"
"AOIBHINN","F","117"
"AOIFE","F","459"
"AOISE","F","4"
"APRIL","F","21"
"ARABELLA","F","4"
"ARAN","M","12"
"ARCHIE","M","23"
"ARIA","F","3"
"ARIANA","F","8"
"ARIANNA","F","12"
"ARINA","F","4"
"ARJUN","M","3"
"ARKADIUSZ","M","4"
"ARLO","M","6"
"ARMANDAS","M","11"
"ARMANI","M","3"
"ARMINAS","M","6"
"ARNAS","M","6"
"ARON","M","17"
"ARONAS","M","8"
"ARRAN","M","5"
"ARRON","M","7"
"ART","M","3"
"ARTHUR","M","25"
