"NAME","SEX","COUNT"
"AARON","F","11"
"AARON","M","1096"
"ABAGAIL","F","5"
"ABBE","F","47"
"ABBEY","F","24"
"ABBIE","F","95"
"ABBIE","M","7"
"ABBOTT","M","5"
"ABBY","F","108"
"ABE","M","60"
"ABEL","M","215"
"ABELARDO","M","30"
"ABELINA","F","5"
"ABELINO","M","8"
"ABIE","M","6"
"ABIGAIL","F","181"
"ABLE","M","6"
"ABNER","M","27"
"ABRA","F","6"
"ABRAHAM","M","284"
"ABRAM","M","36"
"ABRAN","M","5"
"ABRON","M","5"
"ACE","M","17"
"ACIE","M","22"
"ACQUANETTA","F","11"
"ACY","M","9"
"ADA","F","433"
"ADAH","F","6"
"ADAIR","F","14"
"ADALBERTO","M","32"
"ADALENE","F","5"
"ADALIA","F","5"
"ADALINE","F","9"
"ADAM","M","353"
"ADAMS","M","8"
"ADAN","M","55"
"ADDIE","F","168"
"ADDIS","M","6"
"ADDISON","M","36"
"ADEL","F","13"
"ADELA","F","121"
"ADELAIDA","F","20"
"ADELAIDE","F","44"
"ADELBERT","M","9"
"ADELE","F","382"
"ADELENE","F","7"
"ADELIA","F","27"
"ADELINA","F","49"
"ADELINE","F","78"
"ADELITA","F","20"
"ADELL","F","53"
"ADELL","M","15"
"ADELLA","F","32"
"ADELLE","F","33"
"ADELYN","F","5"
"ADENA","F","15"
"ADENE","F","5"
"ADINA","F","17"
"ADLAI","M","12"
"ADLINE","F","9"
"ADMIRAL","M","8"
"ADOLF","M","10"
"ADOLFO","M","88"
"ADOLPH","M","151"
"ADOLPHO","M","6"
"ADOLPHUS","M","66"
"ADONICA","F","6"
"ADONIS","M","11"
"ADONNA","F","9"
"ADORA","F","8"
"ADRA","F","5"
"ADRAIN","F","5"
"ADRAIN","M","27"
"ADRIA","F","46"
"ADRIAN","F","90"
"ADRIAN","M","433"
"ADRIANA","F","53"
"ADRIANE","F","37"
"ADRIANN","F","7"
"ADRIANNA","F","7"
"ADRIANNE","F","71"
"ADRIEL","M","5"
"ADRIEN","F","6"
"ADRIENE","F","18"
"ADRIENNE","F","673"
"ADRINNE","F","5"
"ADRON","M","8"
"AFTON","F","7"
"AGAPITO","M","28"
"AGATHA","F","37"
"AGGIE","F","11"
"AGNES","F","564"
"AGNESS","F","5"
"AGOSTINO","M","6"
"AGUSTIN","M","66"
"AGUSTINE","M","5"
"AHMAD","M","7"
"AHMED","M","10"
"AIDA","F","172"
"AIDE","F","6"
"AILEEN","F","208"
"AILENE","F","12"
"AIMEE","F","105"
"AISHA","F","8"
"AL","M","286"
"ALAIN","M","15"
"ALAINA","F","11"
"ALAINE","F","16"
"ALAN","F","15"
"ALAN","M","9031"
"ALANA","F","119"
"ALANE","F","51"
"ALANNA","F","31"
"ALANSON","M","6"
"ALAYNE","F","16"
"ALBA","F","34"
"ALBAN","M","5"
"ALBERT","F","29"
"ALBERT","M","5178"
"ALBERTA","F","477"
"ALBERTHA","F","44"
"ALBERTINA","F","12"
"ALBERTINE","F","7"
"ALBERTO","F","5"
"ALBERTO","M","339"
"ALBIN","M","22"
"ALBINA","F","9"
"ALBINO","M","11"
"ALBY","M","5"
"ALCIDE","M","7"
"ALCIDES","M","5"
"ALDA","F","24"
"ALDEAN","F","6"
"ALDEN","F","6"
"ALDEN","M","97"
"ALDINE","M","5"
"ALDO","M","54"
"ALDON","M","9"
"ALDORA","F","10"
"ALDRIC","M","6"
"ALDRICH","M","9"
"ALDWIN","M","9"
"ALEAN","F","7"
"ALEASE","F","16"
"ALEATHA","F","11"
"ALEC","M","54"
"ALECIA","F","62"
"ALEDA","F","14"
"ALEEN","F","6"
"ALEJANDRA","F","20"
"ALEJANDRINA","F","6"
"ALEJANDRO","M","156"
"ALEJO","M","6"
"ALEN","M","10"
"ALENA","F","28"
"ALENE","F","80"
"ALESA","F","11"
"ALESE","F","6"
"ALESIA","F","62"
