"NAME","SEX","COUNT"
"A","M","6"
"A'ISHA","F","9"
"A'ISHAH","F","7"
"A-JAY","M","4"
"AABAN","M","20"
"AABID","M","3"
"AADAM","M","109"
"AADAN","M","3"
"AADHIRA","F","4"
"AADHYA","F","30"
"AADI","M","16"
"AADIL","M","23"
"AADITYA","M","13"
"AADVIK","M","4"
"AADYA","F","20"
"AAFIA","F","5"
"AAFIYA","F","6"
"AAFIYAH","F","10"
"AAFREEN","F","5"
"AAHAN","M","6"
"AAHANA","F","6"
"AAHIL","M","83"
"AAILA","F","22"
"AAIMA","F","15"
"AAIRA","F","33"
"AAIRAH","F","20"
"AAISHA","F","16"
"AAISHAH","F","22"
"AAIZA","F","4"
"AAIZAH","F","4"
"AAKASH","M","4"
"AAKIF","M","3"
"AAKIFAH","F","5"
"AALA","F","10"
"AALAYAH","F","7"
"AALEYAH","F","17"
"AALIA","F","37"
"AALIAH","F","3"
"AALIMAH","F","4"
"AALIYA","F","42"
"AALIYAH","F","446"
"AALIYAH-JADE","F","4"
"AALIYAH-MAE","F","3"
"AALIYAH-ROSE","F","12"
"AALIYAN","M","5"
"AALYA","F","4"
"AAMAL","F","4"
"AAMENA","F","3"
"AAMENAH","F","4"
"AAMILAH","F","19"
"AAMINA","F","42"
"AAMINAH","F","132"
"AAMIR","M","16"
"AAMIRA","F","6"
"AAMIRAH","F","5"
"AAMIYAH","F","3"
"AAMNA","F","15"
"AAMNAH","F","3"
"AANAYA","F","5"
"AANIA","F","5"
"AANIKA","F","3"
"AANISAH","F","3"
"AANIYA","F","5"
"AANIYAH","F","11"
"AANVI","F","3"
"AANYA","F","49"
"AAQIL","M","3"
"AARA","F","6"
"AARADHYA","F","18"
"AARAN","M","31"
"AARAV","M","170"
"AAREZ","M","4"
"AARIA","F","13"
"AARIAN","M","6"
"AARIANA","F","3"
"AARIB","M","10"
"AARIF","M","5"
"AARIFAH","F","4"
"AARIN","M","9"
"AARINI","F","3"
"AARIT","M","5"
"AARIV","M","4"
"AARIYA","F","18"
"AARIYAH","F","3"
"AARIYAN","M","10"
"AARIZ","M","64"
"AARNA","F","23"
"AARNAV","M","8"
"AAROHI","F","27"
"AARON","M","819"
"AARON-JAMES","M","5"
"AARON-JUNIOR","M","3"
"AARUHI","F","3"
"AARUSH","M","30"
"AARUSHI","F","15"
"AARVI","F","7"
"AARYA","F","51"
"AARYA","M","5"
"AARYAN","M","75"
"AARYAV","M","4"
"AARYZ","M","3"
"AASHA","F","3"
"AASHI","F","7"
"AASHNA","F","7"
"AASHNI","F","3"
"AASHRIYA","F","3"
"AASHVI","F","4"
"AASIA","F","3"
"AASIM","M","3"
"AASIYA","F","9"
"AASIYAH","F","31"
"AATHAVI","F","3"
"AATIKA","F","4"
"AATIKAH","F","4"
"AAVA","F","5"
"AAVAI","M","4"
"AAVISH","M","3"
"AAYAAN","M","5"
"AAYAH","F","10"
"AAYAN","M","84"
"AAYANSH","M","5"
"AAYAT","F","52"
"AAYDEN","M","3"
"AAYRA","F","3"
"AAYUSH","M","19"
"ABAAN","M","17"
"ABAN","M","5"
"ABBAS","M","59"
"ABBEY","F","50"
"ABBI","F","11"
"ABBIE","F","196"
"ABBIE-LEIGH","F","3"
"ABBIE-MAE","F","5"
"ABBIE-MAY","F","3"
"ABBIGAIL","F","15"
"ABBY","F","59"
"ABBYGAIL","F","6"
"ABD","M","9"
"ABDAAL","M","3"
"ABDALLA","M","10"
