"NAME","SEX","COUNT"
"AARON","M","366"
"ABBIE","F","7"
"ABBY","F","4"
"ABIGAIL","F","17"
"ADAM","M","379"
"ADELE","F","6"
"ADRIAN","M","75"
"ADRIENNE","F","5"
"AEDIN","F","5"
"AENGUS","M","3"
"AGNES","F","13"
"AHMED","M","3"
"AIDAN","M","110"
"AIDEEN","F","44"
"AIDEN","M","4"
"AIFRIC","F","4"
"AILBHE","F","27"
"AILEEN","F","41"
"AILIS","F","5"
"AILISH","F","21"
"AIMEE","F","56"
"AINE","F","177"
"AISHLING","F","60"
"AISLEEN","F","4"
"AISLING","F","348"
"AISLINN","F","24"
"ALAN","M","249"
"ALANA","F","19"
"ALANNA","F","28"
"ALANNAH","F","23"
"ALBERT","M","5"
"ALEX","F","10"
"ALEX","M","48"
"ALEXANDER","M","76"
"ALEXANDRA","F","41"
"ALEXANDRIA","F","3"
"ALI","M","3"
"ALICE","F","66"
"ALICIA","F","3"
"ALISHA","F","8"
"ALISON","F","110"
"ALLAN","M","3"
"ALLEN","M","7"
"ALLISON","F","8"
"ALVA","F","3"
"ALYSON","F","7"
"AMANDA","F","97"
"AMBER","F","26"
"AMELIA","F","12"
"AMIE","F","13"
"AMY","F","447"
"ANDREA","F","47"
"ANDREW","M","358"
"ANGELA","F","18"
"ANGELINA","F","3"
"ANGELO","M","3"
"ANITA","F","20"
"ANN","F","67"
"ANNA","F","120"
"ANNALISE","F","5"
"ANNE","F","77"
"ANNIE","F","22"
"ANNMARIE","F","3"
"ANTHONY","M","217"
"ANTOINETTE","F","13"
"ANTONIA","F","7"
"AODAN","M","3"
"AODHAN","M","9"
"AOIBHEANN","F","18"
"AOIBHIN","F","11"
"AOIBHINN","F","10"
"AOIFE","F","524"
"AONGHUS","M","4"
"APRIL","F","19"
"ARAN","M","5"
"ARLENE","F","9"
"ARON","M","6"
"ARRAN","M","5"
"ARRON","M","12"
"ART","M","3"
"ARTHUR","M","13"
"ASHLEE","F","3"
"ASHLEIGH","F","21"
"ASHLEY","F","38"
"ASHLEY","M","8"
"ASHLIN","F","3"
"ASHLING","F","59"
"ATLANTA","F","3"
"AUDREY","F","14"
"AUSTIN","M","12"
"AVA","F","6"
"AVEEN","F","3"
"AVRIL","F","31"
"AYESHA","F","3"
"AYRTON","M","3"
"BARBARA","F","18"
"BARRA","M","3"
"BARRY","M","123"
"BARTHOLOMEW","M","4"
"BEBHINN","F","9"
"BEIBHINN","F","9"
"BELINDA","F","3"
"BEN","M","54"
"BENEDICT","M","3"
"BENJAMIN","M","57"
"BERNADETTE","F","42"
"BERNARD","M","33"
"BETH","F","13"
"BETHANY","F","7"
"BEVIN","F","5"
"BIANCA","F","5"
"BILL","M","5"
"BILLY","M","9"
"BLAITHIN","F","4"
"BLAKE","M","9"
"BLANAID","F","3"
"BLATHNAID","F","3"
"BOBBY","M","5"
"BRANDON","M","23"
"BREANDAN","M","4"
"BREDA","F","14"
"BRENDA","F","10"
"BRENDAN","M","134"
"BRIAN","M","360"
"BRIANA","F","3"
"BRIANNA","F","3"
"BRID","F","26"
"BRIDGET","F","69"
"BRIGID","F","45"
"BRONA","F","14"
"BRONAGH","F","36"
"BRONWYN","F","7"
"BRYAN","M","44"
"CADHLA","F","3"
"CAILIN","F","4"
"CAITLIN","F","25"
"CAITRIONA","F","43"
"CALLUM","M","8"
"CALUM","M","5"
"CALVIN","M","17"
"CAMERON","M","9"
"CAOILFHIONN","F","6"
"CAOILINN","F","3"
"CAOIMHE","F","124"
"CAOLAN","M","11"
"CAOLIN","M","3"
"CAOMHAN","M","3"
"CARA","F","16"
"CARL","M","39"
"CARLA","F","26"
"CARLEY","F","3"
"CARLY","F","11"
"CARMEL","F","13"
"CAROL","F","36"
"CAROLINE","F","104"
"CAROLYN","F","11"
"CARRIE","F","10"
"CASEY","F","11"
"CASSANDRA","F","14"
"CASSIE","F","8"
"CATHAL","M","145"
