"NAME","SEX","COUNT"
"AADAM","M","5"
"AAISHA","F","10"
"AAKASH","M","7"
"AALIYA","F","5"
"AALIYAH","F","17"
"AAMIR","M","13"
"AAREN","F","12"
"AARIEL","F","5"
"AARIKA","F","40"
"AARIN","F","8"
"AARIN","M","5"
"AARION","M","5"
"AARON","F","131"
"AARON","M","14405"
"AARONN","M","5"
"AARRON","M","40"
"AARTI","F","8"
"AARYN","F","13"
"AARYN","M","11"
"AASIA","F","6"
"AASIM","M","5"
"ABAGAIL","F","30"
"ABAYOMI","M","8"
"ABBAGAIL","F","7"
"ABBAS","M","20"
"ABBE","F","11"
"ABBEE","F","6"
"ABBEY","F","404"
"ABBI","F","42"
"ABBIE","F","226"
"ABBIGAIL","F","63"
"ABBIGALE","F","7"
"ABBIGAYLE","F","5"
"ABBOTT","M","5"
"ABBY","F","1221"
"ABBY","M","8"
"ABDALLAH","M","13"
"ABDEL","M","16"
"ABDIAS","M","7"
"ABDIEL","M","14"
"ABDON","M","6"
"ABDREW","M","6"
"ABDUL","M","67"
"ABDULAZIZ","M","11"
"ABDULLA","M","8"
"ABDULLAH","M","46"
"ABDULMALIK","M","5"
"ABDULRAHMAN","M","17"
"ABDURRAHMAN","M","5"
"ABE","M","25"
"ABED","M","6"
"ABEER","F","6"
"ABEL","F","5"
"ABEL","M","513"
"ABELARDO","M","46"
"ABELINO","M","7"
"ABENA","F","5"
"ABENI","F","9"
"ABHISHEK","M","8"
"ABID","M","9"
"ABIEL","M","11"
"ABIGAEL","F","12"
"ABIGAIL","F","2374"
"ABIGAIL","M","10"
"ABIGAL","F","10"
"ABIGALE","F","42"
"ABIGAYLE","F","25"
"ABILENE","F","15"
"ABIMAEL","M","14"
"ABIMBOLA","F","7"
"ABIOLA","F","10"
"ABISAI","M","7"
"ABLE","M","8"
"ABNER","M","62"
"ABONY","F","6"
"ABRA","F","14"
"ABRAHAM","M","973"
"ABRAHAN","M","12"
"ABRAHIM","M","13"
"ABRAM","M","131"
"ABRAN","M","33"
"ABRAR","M","5"
"ABRHAM","M","5"
"ABRIANA","F","11"
"ABRIANNA","F","16"
"ABRIEL","F","8"
"ABRIEL","M","5"
"ABRIELLE","F","15"
"ABRIGAIL","F","5"
"ABRIL","F","25"
"ABSALOM","M","8"
"ABU","M","9"
"ABYGAIL","F","5"
"AC","M","5"
"ACACIA","F","65"
"ACE","M","48"
"ACEY","M","5"
"ACHARY","M","5"
"ACHEL","F","7"
"ACHILLES","M","6"
"ACIE","M","7"
"ADA","F","154"
"ADAH","F","10"
"ADAIR","F","13"
"ADAIR","M","5"
"ADALBERTO","M","75"
"ADALIA","F","7"
"ADALINE","F","10"
"ADALIZ","F","5"
"ADALYN","F","7"
"ADAM","F","84"
"ADAM","M","16460"
"ADAMS","M","37"
"ADAN","M","270"
"ADANTE","M","5"
"ADARA","F","17"
"ADARIUS","M","18"
"ADDA","F","5"
"ADDAM","M","23"
"ADDIE","F","114"
"ADDISON","F","40"
"ADDISON","M","249"
"ADDY","F","12"
"ADE","M","6"
"ADEEL","M","14"
"ADEL","M","18"
"ADELA","F","57"
"ADELAIDA","F","31"
"ADELAIDE","F","39"
"ADELBERT","M","7"
"ADELE","F","80"
"ADELIA","F","12"
"ADELINA","F","36"
"ADELINE","F","57"
"ADELITA","F","14"
"ADELL","F","8"
"ADELLA","F","20"
"ADELLE","F","29"
"ADELYN","F","5"
"ADEM","M","10"
"ADEMOLA","M","5"
"ADEN","M","15"
"ADENA","F","31"
"ADEOLA","F","11"
"ADESUWA","F","7"
"ADHAM","M","10"
"ADHLEY","F","7"
"ADI","F","7"
"ADIA","F","24"
"ADIB","M","6"
"ADIDAS","M","6"
"ADIEL","M","10"
"ADIL","M","23"
"ADILENE","F","133"
"ADIN","M","6"
"ADINA","F","79"
"ADISON","M","18"
"ADITI","F","21"
"ADITYA","M","17"
"ADLEY","M","9"
"ADMIR","M","5"
"ADNAN","M","40"
"ADNREW","M","5"
"ADOLFO","M","196"
"ADOLPH","M","23"
"ADOLPHUS","M","19"
"ADON","M","5"
"ADONIA","F","5"
"ADONICA","F","9"
"ADONIS","M","63"
"ADONNIS","M","6"
"ADONTE","M","6"
"ADORA","F","33"
"ADORIA","F","6"
"ADRAIN","F","12"
"ADRAIN","M","69"
"ADRAINE","F","9"
"ADREA","F","18"
"ADREAN","F","11"
"ADREAN","M","9"
"ADREANA","F","17"
"ADREANNA","F","18"
"ADREANNE","F","6"
"ADREINNE","F","5"
"ADREN","M","5"
"ADRENA","F","10"
"ADREW","M","5"
"ADRIA","F","92"
"ADRIAN","F","385"
"ADRIAN","M","3220"
"ADRIANA","F","1447"
"ADRIANA","M","20"
"ADRIANE","F","106"
"ADRIANE","M","6"
"ADRIANN","F","19"
"ADRIANNA","F","422"
"ADRIANNE","F","312"
"ADRIANO","M","23"
"ADRIC","M","7"
"ADRIEANNA","F","7"
"ADRIEL","F","5"
"ADRIEL","M","57"
"ADRIELLE","F","11"
"ADRIEN","F","33"
"ADRIEN","M","91"
"ADRIENE","F","43"
"ADRIENE","M","5"
"ADRIENNA","F","11"
"ADRIENNE","F","1426"
"ADRIENNE","M","15"
"ADRIN","M","7"
"ADRINA","F","21"
"ADRION","M","7"
"ADRON","M","11"
"AEDAN","M","5"
"AEISHA","F","10"
"AERIAL","F","57"
"AERICA","F","7"
"AERIEL","F","15"
"AERIN","F","10"
"AERON","F","5"
"AERON","M","5"
"AESHA","F","13"
"AFIYA","F","6"
"AFNAN","F","7"
"AFRICA","F","7"
"AFSANEH","F","6"
"AFSHEEN","F","5"
"AFTAN","F","7"
"AFTEN","F","8"
"AFTON","F","101"
"AFUA","F","6"
"AGAPITO","M","14"
"AGATHA","F","27"
"AGNES","F","76"
"AGNESE","F","5"
"AGNIESZKA","F","10"
"AGRON","M","5"
"AGUSTIN","M","191"
"AGUSTINA","F","9"
"AGUSTINE","M","10"
"AHARON","M","36"
"AHKEEM","M","6"
"AHLAM","F","14"
"AHMAAD","M","8"
"AHMAD","M","238"
