"NAME","SEX","COUNT"
"A","M","2"
"A'ISHA","F","1"
"A-JAY","M","1"
"AADHITHYA","M","1"
"AADHYA","F","3"
"AADITH","M","1"
"AADYA","F","1"
"AADYAN","M","1"
"AAEESHA","F","1"
"AAFREEN","F","2"
"AAHILUDDIN","M","1"
"AAIDEN","M","1"
"AAILA","F","2"
"AAIMA","F","2"
"AAIRA","F","1"
"AAIRAH","F","1"
"AAISHAH","F","1"
"AALIA","F","2"
"AALID","F","1"
"AALIYAH","F","19"
"AALIYAH-MAE","F","1"
"AAMINA","F","2"
"AAMINAH","F","2"
"AAMIR","M","1"
"AAMIRA","F","1"
"AANANYA","F","1"
"AANIA","F","1"
"AANUOLUWAPO","F","1"
"AANYA","F","5"
"AARAADHYA","F","1"
"AARABH","M","1"
"AARALYN","F","1"
"AARAN","M","7"
"AARAV","M","7"
"AARIA","F","1"
"AARIANA","F","1"
"AARIB","M","1"
"AARIKA","F","1"
"AARIN","M","1"
"AARINI","F","1"
"AARIZ","M","1"
"AARJUN","M","1"
"AARNA","F","3"
"AARNIKA","F","1"
"AAROHI","F","1"
"AARON","M","264"
"AARREN","M","1"
"AARRON","M","2"
"AARRYN","M","1"
"AARUSH","M","1"
"AARVI","F","1"
"AARYA","F","3"
"AARYA","M","1"
"AARYAN","M","2"
"AARYLAN","M","1"
"AARYN","M","2"
"AASHI","F","1"
"AASHMAN","M","1"
"AASHVI","F","1"
"AASIYAH","F","1"
"AASR","M","1"
"AAVAH","F","1"
"AAVANA","F","1"
"AAYAH","F","1"
"AAYAN","M","4"
"AAYAT","F","1"
"AAYLA","F","2"
"AAYNA","F","1"
"AAYRAN","M","1"
"AAYSHAH","F","1"
"ABAIGH","F","1"
"ABALOCH","F","1"
"ABBAS","M","3"
"ABBEY","F","22"
"ABBI","F","7"
"ABBI-ROSE","F","1"
"ABBIE","F","101"
"ABBIE-MAREE","F","1"
"ABBIE-ROSE","F","2"
"ABBY","F","17"
"ABBY-MAY","F","1"
"ABBY-ROSE","F","1"
"ABD-ALLAH","M","1"
"ABDALLAH","M","1"
"ABDEL","M","1"
"ABDELHAMID","M","1"
"ABDOULIE","M","1"
"ABDOULMALIK","M","1"
"ABDUL","M","18"
"ABDUL-BASIT","M","1"
"ABDUL-HADI","M","1"
"ABDULAH","M","1"
"ABDULAZIZ","M","2"
"ABDULLAH","M","17"
"ABDULRAHMAN","M","2"
"ABDUR","M","1"
"ABDUR-RAHEEM","M","1"
"ABDUR-RAHMAN","M","3"
"ABDUSSALAM","M","1"
"ABEERA","F","1"
"ABEL","M","9"
"ABHA","F","1"
"ABHIA","F","1"
"ABHINAV","M","3"
"ABHIRAM","M","1"
"ABI","F","19"
"ABIDA","F","1"
"ABIE","F","1"
"ABIEL","M","1"
"ABIELA","F","1"
"ABIGAIL","F","122"
"ABIGAIL-ROSE","F","1"
"ABIGALE","F","1"
"ABIHA","F","2"
"ABNER","M","1"
"ABRAR","F","1"
"ABU","M","1"
"ABYGAIL","F","1"
"ACACIA","F","2"
"ACE","M","6"
"ACHIM","M","1"
"ADA","F","15"
"ADAIRA","F","1"
"ADALIND","F","1"
"ADALYN","F","1"
"ADAM","M","266"
"ADAM-JAMES","M","2"
"ADAN","F","3"
"ADANIA","F","1"
"ADANNA","F","1"
"ADAORA","F","1"
"ADAR","M","1"
"ADARRO","M","1"
"ADDIE","M","1"
"ADDISON","F","10"
"ADEBAYO","M","1"
"ADEDAMOLA","M","2"
"ADEEM","F","1"
"ADEENA","F","2"
"ADEERA","F","1"
"ADEIN","M","1"
"ADEL","F","2"
"ADELA","F","3"
"ADELAIDE","F","2"
"ADELE","F","9"
"ADELEINE","F","1"
"ADELINA","F","1"
"ADELINE","F","2"
"ADELYN","F","1"
"ADELYNNE","F","1"
"ADEMIDE","M","1"
"ADEN","M","7"
"ADEOLA","F","1"
"ADERINSOLA","F","1"
"ADESUWA","F","1"
"ADEY","M","1"
"ADHAM","M","1"
"ADHRIT","M","1"
"ADI","M","1"
"ADIBA","F","1"
"ADIE","M","1"
"ADIENNA","F","1"
"ADIL","M","3"
"ADISON","M","1"
"ADITA","F","1"
"ADITHYA","M","1"
"ADITI","F","1"
"ADITYA","M","5"
"ADLAI","M","1"
"ADNAN","M","1"
"ADORA","F","1"
"ADRIAN","M","23"
"ADRIANA","F","8"
"ADRIANNA","F","6"
"ADRIANS","M","1"
"ADRIJUS","M","1"
"ADURAGBEMI","M","1"
"ADWIT","M","1"
"ADWOA","F","1"
"AEDAN","M","3"
"AEIAN","M","1"
"AEJAY","F","1"
"AELA","F","5"
"AEMEE-MAREE","F","1"
"AEON","F","1"
"AERITH","F","1"
"AERYN","F","1"
"AFFAN","M","1"
"AFIA","F","1"
"AFIYA","F","1"
"AFIYAH","F","1"
"AFSA","F","2"
"AFTON","F","2"
"AFZAL","M","1"
"AGATA","F","1"
"AGATHA","F","1"
"AGGELOS","M","1"
"AGHA","M","1"
"AGHAMJOT","M","1"
"AGNES","F","4"
"AHAD","M","2"
"AHMAD","M","10"
