"NAME","SEX","COUNT"
"Aaliyah","F","13"
"Aarav","M","3"
"Aaron","M","61"
"Abaigh","F","3"
"Abbey","F","4"
"Abbie","F","43"
"Abbie-Rose","F","3"
"Abby","F","3"
"Abel","M","7"
"Abi","F","4"
"Abigail","F","51"
"Ada","F","16"
"Adam","M","108"
"Addison","F","8"
"Adrian","M","8"
"Adrianna","F","4"
"Aedan","M","6"
"Agnes","F","4"
"Ahmed","M","4"
"Aibhlinn","F","4"
"Aida","F","4"
"Aidan","M","46"
"Aiden","M","15"
"Ailbe","F","3"
"Ailbhe","F","6"
"Aimee","F","28"
"Aine","F","24"
"Aisling","F","6"
"Aislinn","F","4"
"Aj","M","4"
"Alan","M","13"
"Alana","F","12"
"Alanna","F","9"
"Alannah","F","7"
"Alba","F","3"
"Albie","M","5"
"Aleah","F","6"
"Alec","M","3"
"Aleksandra","F","8"
"Alesha","F","5"
"Alex","F","8"
"Alex","M","50"
"Alexa","F","11"
"Alexander","M","68"
"Alexandra","F","18"
"Alexandria","F","5"
"Alexia","F","4"
"Alexis","F","13"
"Alfie","M","139"
"Alfred","M","4"
"Alia","F","3"
"Alice","F","51"
"Alicia","F","7"
"Alicja","F","10"
"Alisa","F","4"
"Alisha","F","7"
"Alivia","F","5"
"Aliyah","F","5"
"Allie","F","3"
"Alyssa","F","16"
"Amanda","F","3"
"Amara","F","4"
"Amber","F","36"
"Amber-Rose","F","3"
"Amelia","F","150"
"Amelia-Lily","F","4"
"Amelia-Rose","F","6"
"Amelie","F","6"
"Amira","F","5"
"Amirah","F","5"
"Amy","F","39"
"Ana","F","6"
"Anais","F","4"
"Anastasia","F","4"
"Anaya","F","3"
"Andrew","M","17"
"Angel","F","5"
"Angelina","F","3"
"Angus","M","4"
"Anna","F","164"
"Annabel","F","7"
"Annabelle","F","20"
"Annalise","F","4"
"Annie","F","68"
"Anthony","M","24"
"Antoin","M","5"
"Anton","M","4"
"Antoni","M","5"
"Antonia","F","4"
"Antonio","M","5"
"Anya","F","3"
"Aodhan","M","47"
"Aoibh","F","6"
"Aoibhe","F","23"
"Aoibheann","F","40"
"Aoibhin","F","3"
"Aoibhinn","F","11"
"Aoife","F","128"
"April","F","8"
"Arabella","F","9"
"Archer","M","4"
"Archie","M","57"
"Ardan","M","3"
"Aria","F","55"
"Ariah","F","4"
"Ariana","F","16"
"Arianna","F","16"
"Ariella","F","5"
"Ariya","F","5"
"Arlo","M","18"
"Armandas","M","3"
"Aron","M","3"
"Aronas","M","3"
"Arthur","M","56"
"Arya","F","8"
"Ashleigh","F","3"
"Ashton","M","10"
"Athena","F","3"
"Aubree","F","3"
"Aurelia","F","3"
"Aurora","F","7"
"Austin","M","26"
"Autumn","F","12"
"Ava","F","136"
"Ava-Grace","F","4"
"Ava-Rose","F","4"
"Aviana","F","3"
"Ayla","F","16"
"Bailey","M","6"
"Barra","M","10"
"Barry","M","4"
"Beatrice","F","3"
"Beau","M","8"
"Bella","F","53"
"Ben","M","65"
"Benas","M","7"
"Benjamin","M","57"
"Bentley","M","8"
"Bernard","M","3"
"Beth","F","31"
"Bethany","F","28"
"Bianca","F","3"
"Billy","M","8"
"Bjorn","M","3"
"Blair","M","3"
"Blaithin","F","8"
"Blake","F","5"
"Blake","M","31"
"Blathnaid","F","6"
"Bobbi","F","4"
"Bobbie","M","4"
"Bobby","M","43"
"Bodhi","M","3"
"Bonnie","F","18"
"Bowie","M","3"
"Bradan","M","6"
"Braden","M","3"
"Bradley","M","15"
"Brandon","M","5"
"Bree","F","3"
"Brendan","M","7"
"Bria","F","3"
"Brian","M","7"
"Brianna","F","4"
"Bridget","F","4"
"Brodie","M","12"
"Brody","M","32"
"Brogan","M","7"
"Bronagh","F","4"
"Brooke","F","31"
"Brooklyn","M","5"
"Brooklynn","F","3"
"Cadain","M","4"
"Cadan","M","4"
"Caden","M","6"
"Cadhla","F","16"
"Caedan","M","4"
"Caelan","M","4"
"Caelum","M","3"
"Cahal","M","4"
"Cahan","M","4"
"Cahir","M","25"
"Caiden","M","21"
"Caila","F","3"
"Cain","M","5"
"Cait","F","5"
"Caitlin","F","32"
"Caitriona","F","3"
"Caleb","M","92"
"Cali","F","4"
"Calla","F","3"
"Callan","M","10"
"Callie","F","11"
"Callum","M","74"
"Calum","M","13"
"Calvin","M","11"
"Cameron","M","11"
"Caodhan","M","5"
"Caoilte","M","4"
"Caoimhe","F","55"
"Caoimhin","M","13"
"Caolan","M","49"
"Cara","F","91"
"Caragh","F","9"
"Carla","F","8"
"Carly","F","9"
"Carmen","F","3"
"Carragh","F","3"
"Carrie","F","3"
"Carson","M","17"
"Carter","M","54"
"Casey","F","17"
"Casey","M","10"
"Cassia","F","3"
"Cassidy","F","3"
"Cassie","F","32"
"Cate","F","3"
"Cathair","M","5"
"Cathal","M","18"
"Cathan","M","5"
"Cathaoir","M","6"
"Catherine","F","15"
"Cayden","M","13"
"Ceala","F","4"
"Cerys","F","9"
"Charlee","F","3"
"Charles","M","20"
"Charley","F","7"
"Charlie","F","4"
"Charlie","M","204"
"Charlotte","F","123"
"Che","M","6"
"Chloe","F","92"
"Christian","M","11"
"Christina","F","4"
"Christine","F","3"
"Christopher","M","25"
"Cian","M","60"
"Ciara","F","12"
"Ciaran","M","29"
"Cillian","M","79"
"Claire","F","3"
"Clara","F","45"
"Clare","F","3"
"Clarke","M","4"
"Claudia","F","6"
"Cleo","F","5"
"Cliodhna","F","12"
"Cliona","F","7"
"Clodagh","F","45"
"Cobhlaith","F","5"
"Coby","M","6"
"Cody","M","27"
"Coen","M","8"
"Cohan","M","6"
"Cohen","M","19"
"Cole","M","21"
"Colleen","F","7"
"Colm","M","6"
"Colton","M","10"
