"NAME","SEX","COUNT"
"A'ISHAH","F","4"
"A.J.","M","3"
"AA'ISHAH","F","3"
"AADAM","M","53"
"AADIL","M","39"
"AADITYA","M","3"
"AAISHA","F","27"
"AAISHAH","F","8"
"AAKASH","M","10"
"AAKIFAH","F","4"
"AALIA","F","18"
"AALIAH","F","9"
"AALIYA","F","10"
"AALIYAH","F","70"
"AAMENA","F","9"
"AAMENAH","F","4"
"AAMINA","F","26"
"AAMINAH","F","36"
"AAMIR","M","47"
"AAMIRA","F","3"
"AAMIRAH","F","10"
"AAMNA","F","10"
"AAMNAH","F","3"
"AANISAH","F","8"
"AAQIB","M","5"
"AARAN","M","22"
"AAREN","M","4"
"AARIF","M","3"
"AARIFAH","F","4"
"AARON","M","2151"
"AARONDEEP","M","10"
"AARONVEER","M","3"
"AARRON","M","24"
"AARTI","F","5"
"AARUN","M","4"
"AARYAN","M","3"
"AARZOO","F","4"
"AASHIR","M","5"
"AASHNI","F","3"
"AASIM","M","6"
"AASIYA","F","5"
"AASIYAH","F","8"
"AATIF","M","5"
"AATIKAH","F","4"
"AAYUSH","M","4"
"ABAAS","M","5"
"ABAGAEL","F","4"
"ABAGAIL","F","5"
"ABBAAS","M","3"
"ABBAS","M","37"
"ABBE","F","3"
"ABBEE","F","3"
"ABBEY","F","231"
"ABBEY-LOUISE","F","3"
"ABBEYGAIL","F","4"
"ABBI","F","75"
"ABBIE","F","1044"
"ABBIE-LEIGH","F","8"
"ABBIE-LOUISE","F","7"
"ABBIE-MAE","F","5"
"ABBIE-MAY","F","3"
"ABBIEGAIL","F","7"
"ABBIEGALE","F","4"
"ABBIGAIL","F","28"
"ABBIGALE","F","7"
"ABBIGAYLE","F","3"
"ABBY","F","286"
"ABBY-LEIGH","F","5"
"ABBYGAIL","F","6"
"ABD","M","4"
"ABDALLA","M","6"
"ABDALLAH","M","12"
"ABDEL","M","3"
"ABDELRAHMAN","M","3"
"ABDI","M","10"
"ABDIAZIZ","M","5"
"ABDIKARIM","M","3"
