"NAME","SEX","COUNT"
"AARON","M","62"
"ABIGAIL","F","6"
"ADAM","M","74"
"ADEL","F","6"
"ADELE","F","10"
"ADELINE","F","5"
"ADRIAN","M","151"
"ADRIENNE","F","20"
"AENGUS","M","3"
"AGNES","F","15"
"AIDAN","M","240"
"AIDEEN","F","44"
"AIDEN","M","35"
"AIDIN","F","3"
"AILBHE","F","20"
"AILEEN","F","93"
"AILIS","F","7"
"AILISH","F","42"
"AIMEE","F","17"
"AINE","F","184"
"AISHLING","F","43"
"AISLING","F","285"
"AISLINN","F","19"
"ALAN","M","785"
"ALANA","F","7"
"ALANNA","F","4"
"ALASTAIR","M","5"
"ALBERT","M","12"
"ALEX","M","10"
"ALEXANDER","M","31"
"ALEXANDRA","F","11"
"ALFRED","M","7"
"ALICE","F","35"
"ALICIA","F","9"
"ALISON","F","144"
"ALISTAIR","M","5"
"ALLAN","M","24"
"ALLEN","M","22"
"ALLISON","F","18"
"ALMA","F","12"
"ALPHONSUS","M","3"
"ALVA","F","7"
"ALVIN","M","4"
"AMANDA","F","207"
"AMBROSE","M","6"
"AMY","F","122"
"ANASTASIA","F","7"
"ANDRE","M","5"
"ANDREA","F","83"
"ANDREAS","M","3"
"ANDREW","M","394"
"ANGELA","F","110"
"ANGELINA","F","7"
"ANGELINE","F","11"
"ANGUS","M","3"
"ANITA","F","93"
"ANN","F","379"
"ANNA","F","138"
"ANNE","F","318"
"ANNETTE","F","62"
"ANNIE","F","14"
"ANNMARIE","F","11"
"ANTHEA","F","4"
"ANTHONY","M","486"
"ANTOIN","M","3"
"ANTOINETTE","F","36"
"ANTONIA","F","3"
"ANTONIO","M","3"
"AODH","M","4"
"AODHAN","M","6"
"AOIBHEANN","F","6"
"AOIFA","F","9"
"AOIFE","F","471"
"AOIFFE","F","3"
"AONGHUS","M","8"
"APRIL","F","12"
"ARLENE","F","21"
"ARON","M","3"
"ARTHUR","M","11"
"ASHLEY","F","3"
"ASHLEY","M","9"
"ASHLING","F","62"
"ASSUMPTA","F","4"
"AUDREY","F","111"
"AUGUSTINE","M","4"
"AUSTIN","M","26"
"AVA","F","4"
"AVERIL","F","3"
"AVRIL","F","73"
"BAIRBRE","F","6"
"BARBARA","F","111"
"BARRA","M","3"
"BARRIE","M","3"
"BARRY","M","384"
"BARTHOLOMEW","M","10"
"BEATRICE","F","3"
"BEBHINN","F","4"
"BELINDA","F","16"
"BENJAMIN","M","15"
"BERNADETTE","F","158"
"BERNADINE","F","4"
"BERNARD","M","111"
"BERNICE","F","6"
"BEVERLEY","F","4"
"BEVERLY","F","3"
"BIANCA","F","4"
"BILLY","M","5"
"BLATHNAID","F","4"
"BREANDAN","M","4"
"BREDA","F","48"
"BREEDA","F","4"
"BREEGE","F","14"
"BREFFNI","F","3"
"BRENDA","F","59"
"BRENDAN","M","343"
"BRIAN","M","907"
"BRID","F","37"
"BRIDGET","F","192"
"BRIDIE","F","6"
"BRIGHID","F","3"
"BRIGID","F","47"
"BRONA","F","10"
"BRONAGH","F","19"
"BRONWYN","F","3"
"BRUCE","M","4"
"BRYAN","M","70"
"CAITRIONA","F","115"
"CAMILLA","F","4"
"CAMILLE","F","4"
"CAOIMHE","F","34"
"CARA","F","17"
"CARDINE","F","3"
"CARINA","F","11"
"CARL","M","32"
"CARLA","F","21"
"CARLENE","F","3"
"CARLOS","M","4"
"CARLY","F","3"
"CARMEL","F","83"
"CAROL","F","183"
"CAROLE","F","10"
"CAROLINE","F","491"
"CAROLYN","F","23"
"CARON","F","3"
"CARRIE","F","19"
"CASSANDRA","F","4"
"CATHAL","M","115"
"CATHERINA","F","15"
"CATHERINE","F","535"
"CATHLEEN","F","4"
"CATHRINA","F","6"
"CATHRIONA","F","36"
"CATHRYN","F","3"
"CATHY","F","22"
"CATRINA","F","3"
"CATRIONA","F","123"
"CEARA","F","8"
"CECELIA","F","5"
"CECIL","M","3"
"CECILIA","F","4"
"CEIRE","F","5"
"CELINA","F","4"
"CELINE","F","44"
"CHANTAL","F","4"
"CHARLEEN","F","4"
"CHARLENE","F","39"
"CHARLES","M","67"
"CHARLOTTE","F","33"
"CHARMAINE","F","6"
"CHERYL","F","12"
"CHRISTIAN","M","13"
"CHRISTINA","F","112"
"CHRISTINE","F","87"
"CHRISTOPHER","M","276"
"CIAN","M","71"
"CIARA","F","363"
"CIARAN","M","288"
"CILLIAN","M","19"
"CLAIR","F","14"
"CLAIRE","F","457"
"CLARA","F","10"
"CLARE","F","159"
"CLAUDIA","F","6"
"CLAYTON","M","3"
"CLEMENT","M","4"
"CLIFF","M","4"
"CLIFFORD","M","12"
"CLINT","M","13"
"CLINTON","M","5"
"CLIODHNA","F","13"
"CLIONA","F","34"
"CLIVE","M","38"
"CLODAGH","F","65"
"COLEEN","F","3"
"COLETTE","F","74"
"COLIN","M","190"
"COLLEEN","F","10"
"COLLETTE","F","13"
"COLM","M","275"
"COLMAN","M","7"
"COLUM","M","20"
"COMAN","M","5"
"CONAL","M","10"
"CONALL","M","5"
"CONAN","M","3"
"CONN","M","5"
"CONNOR","M","21"
"CONOR","M","319"
"CONRAD","M","3"
"CORA","F","25"
"CORINA","F","3"
"CORINNA","F","4"
"CORMAC","M","83"
"CORMACK","M","3"
"CORNELIUS","M","49"
"CORRINA","F","3"
"CRAIG","M","28"
"CRONA","F","5"
"CRONAN","M","5"
"CRYSTAL","F","4"
"CYNTHIA","F","11"
"CYRIL","M","14"
"DAIRE","F","6"
"DAIRE","M","31"
"DAMIAN","M","133"
"DAMIEN","M","306"
"DANIEL","M","431"
"DANIELA","F","3"
"DANIELLE","F","62"
"DARA","F","13"
"DARA","M","19"
"DARACH","M","3"
"DARAGH","M","45"
"DAREN","M","9"
"DARINA","F","10"
"DARLENE","F","3"
"DARRAGH","M","108"
"DARRAN","M","29"
"DARREN","M","307"
"DARRON","M","5"
"DARRYL","M","4"
"DARYL","M","8"
"DAVID","M","1633"
"DAVINA","F","9"
"DAVINIA","F","3"
"DAVITT","M","5"
"DAWN","F","55"
"DEAN","M","39"
"DEARBHAIL","F","5"
"DEARBHLA","F","9"
"DEBBIE","F","17"
"DEBORAH","F","248"
"DEBRA","F","14"
"DECLAN","M","343"
"DEIRDRE","F","456"
"DELIA","F","4"
"DEMELZA","F","4"
"DENIS","M","174"
"DENISE","F","303"
"DENNIS","M","12"
"DERECK","M","5"
"DEREK","M","332"
"DERICK","M","12"
"DERMOT","M","164"
"DERRICK","M","20"
"DERRY","M","4"
"DERVAL","F","4"
"DERVLA","F","8"
"DESMOND","M","69"
"DIANA","F","34"
"DIANE","F","61"
"DIANNE","F","6"
"DIARMAID","M","17"
"DIARMUID","M","61"
"DIONNE","F","6"
"DOIREANN","F","16"
"DOLORES","F","25"
"DOMHNALL","M","13"
"DOMINIC","M","30"
"DOMINICK","M","4"
"DON","M","3"
"DONAGH","M","8"
"DONAL","M","161"
"DONALD","M","15"
"DONALL","M","3"
"DONNA","F","224"
"DONNACHA","M","12"
"DONNCHA","M","12"
"DONNCHADH","M","5"
"DOREEN","F","7"
"DORINDA","F","4"
"DOROTHY","F","13"
"DOUGLAS","M","8"
"DREW","M","3"
"DUANE","M","3"
"DUNCAN","M","3"
"DUSTIN","M","3"
"DWANE","M","4"
"DWAYNE","M","9"
"DYLAN","M","20"
"DYMPNA","F","8"
"EADAOIN","F","14"
"EAMON","M","42"
"EAMONN","M","129"
"EANNA","M","6"
"EARL","M","3"
"EAVAN","F","11"
"EDEL","F","195"
"EDELE","F","3"
"EDELLE","F","4"
"EDITH","F","3"
"EDMOND","M","24"
"EDMUND","M","23"
"EDWARD","M","260"
"EDWIN","M","14"
"EDWINA","F","27"
"EIBHLIN","F","7"
"EILEEN","F","112"
"EILIS","F","21"
"EILISH","F","35"
"EIMEAR","F","136"
"EIMER","F","10"
"EITHNE","F","14"
"ELAINE","F","489"
"ELANE","F","3"
"ELEANOR","F","62"
"ELENA","F","3"
"ELIZA","F","3"
"ELIZABETH","F","332"
"ELLA","F","4"
"ELLEN","F","101"
"ELMA","F","3"
"ELVA","F","3"
"EMER","F","147"
"EMILY","F","94"
"EMIR","F","3"
"EMMA","F","568"
"EMMANUEL","M","3"
"EMMET","M","75"
"EMMETT","M","30"
"ENDA","M","116"
"EOGHAIN","M","3"
"EOGHAN","M","63"
"EOIN","M","312"
"ERIC","M","66"
"ERICA","F","46"
"ERICKA","F","5"
"ERIK","M","4"
"ERIKA","F","19"
"ERIN","F","22"
"ESTELLE","F","3"
"ESTHER","F","21"
"ETHNA","F","5"
"EUCHARIA","F","3"
"EUGENE","M","80"
"EVA","F","45"
"EVAN","M","10"
"EVE","F","13"
"EVELEEN","F","5"
"EVELYN","F","64"
"EVIN","M","5"
"EVONNE","F","3"
"FAYE","F","6"
"FEARGAL","M","4"
"FEARGHAL","M","9"
"FELICITY","F","5"
"FELIX","M","4"
"FERGAL","M","82"
"FERGUS","M","53"
"FIACHRA","M","9"
"FIDELMA","F","13"
"FINBAR","M","15"
"FINBARR","M","43"
"FINIAN","M","6"
"FINOLA","F","4"
"FINTAN","M","41"
"FIONA","F","442"
"FIONN","M","7"
"FIONNUALA","F","27"
"FLANNAN","M","3"
"FLORENCE","F","5"
"FLORENCE","M","6"
"FRANCES","F","67"
"FRANCESCA","F","13"
"FRANCIS","M","204"
"FRANK","M","11"
"FREDA","F","5"
"FREDERICK","M","8"
"GABRIEL","M","12"
"GABRIELLE","F","4"
"GAIL","F","13"
"GARETH","M","179"
"GARRET","M","25"
"GARRETH","M","28"
"GARRETT","M","59"
"GARRY","M","81"
"GARTH","M","3"
"GARVAN","M","3"
"GARY","M","322"
"GAVAN","M","6"
"GAVIN","M","205"
"GAYLE","F","4"
"GEAROID","M","28"
"GEMMA","F","123"
"GENEVIEVE","F","12"
"GEOFFREY","M","19"
"GEORGE","M","56"
"GEORGINA","F","53"
"GERALD","M","32"
"GERALDINE","F","136"
"GERARD","M","408"
"GERARDINE","F","3"
"GERRARD","M","4"
"GILLIAN","F","227"
"GINA","F","7"
"GLEN","M","51"
"GLENDA","F","25"
"GLENN","M","37"
"GLORIA","F","7"
"GOBNAIT","F","5"
"GORDON","M","47"
"GRACE","F","86"
"GRAEME","M","17"
"GRAHAM","M","156"
"GRAINNE","F","176"
"GREGORY","M","54"
"GRETCHEN","F","3"
"GRETTA","F","5"
"GWEN","F","7"
"GWENDOLINE","F","3"
"HANNA","F","4"
"HANNAH","F","15"
"HANORA","F","5"
"HARRY","M","3"
"HAYLEY","F","3"
"HAZEL","F","65"
"HEATHER","F","22"
"HEIDI","F","3"
"HELEN","F","227"
"HELENA","F","79"
"HENRY","M","28"
"HILARY","F","29"
"HILDA","F","7"
"HOLLY","F","3"
"HOWARD","M","5"
"HUBERT","M","6"
"HUGH","M","82"
"HUGO","M","5"
"IAIN","M","6"
"IAN","M","239"
"IARLA","M","3"
"IDE","F","3"
"IMELDA","F","29"
"INGRID","F","7"
"IRENE","F","63"
"IRIS","F","4"
"ISABELLE","F","5"
"ISEULT","F","5"
"ISOBEL","F","5"
"ITA","F","13"
"IVAN","M","27"
"IVOR","M","9"
"JACINTA","F","60"
"JACINTHA","F","4"
"JACK","M","5"
"JACLYN","F","3"
"JACOB","M","3"
"JACQUELINE","F","165"
"JADE","F","3"
"JAMES","M","1098"
"JAMIE","F","8"
"JAMIE","M","41"
"JAN","F","4"
"JAN","M","4"
"JANE","F","125"
"JANET","F","39"
"JANETTE","F","15"
"JANICE","F","53"
"JANINE","F","4"
"JANIS","F","6"
"JARLATH","M","9"
"JASON","M","253"
"JAYNE","F","9"
"JEAN","F","73"
"JEANETTE","F","15"
"JEANNE","F","3"
"JEFFREY","M","25"
"JEMMA","F","11"
"JENIFER","F","8"
"JENNIFER","F","635"
"JENNY","F","8"
"JEREMIAH","M","63"
"JEREMY","M","6"
"JEROME","M","8"
"JERRY","M","4"
"JESSICA","F","72"
"JILL","F","18"
"JILLIAN","F","30"
"JIM","M","3"
"JOAN","F","43"
"JOANN","F","14"
"JOANNA","F","58"
"JOANNE","F","263"
"JODY","M","6"
"JOEL","M","3"
"JOHANN","M","5"
"JOHANNA","F","37"
"JOHANNE","F","9"
"JOHN","M","2071"
"JOHNATHAN","M","8"
"JOLEEN","F","4"
"JONATHAN","M","476"
"JORDAN","M","3"
"JORDANA","F","5"
"JORDANNA","F","3"
"JOSEPH","M","426"
"JOSEPHINE","F","68"
"JOSHUA","M","4"
"JOY","F","12"
"JOYCE","F","30"
"JUDE","F","4"
"JUDE","M","10"
"JUDITH","F","17"
"JUDY","F","4"
"JULIA","F","47"
"JULIAN","M","7"
"JULIANNE","F","11"
"JULIE","F","166"
"JULIEANNE","F","3"
"JULIET","F","8"
"JULIETTE","F","3"
"JUNE","F","15"
"JUSTIN","M","67"
"JUSTINE","F","6"
"KARA","F","6"
"KARAN","F","6"
"KAREN","F","530"
"KARENA","F","5"
"KARINA","F","27"
"KARL","M","132"
"KARLA","F","4"
"KAROL","F","3"
"KAROL","M","16"
"KATE","F","61"
"KATHARINE","F","3"
"KATHERINA","F","4"
"KATHERINE","F","71"
"KATHLEEN","F","150"
"KATHRINA","F","6"
"KATHRIONA","F","4"
"KATHRYN","F","39"
"KATHY","F","12"
"KATIE","F","21"
"KATRINA","F","20"
"KATRIONA","F","6"
"KEELAN","M","4"
"KEELIN","F","6"
"KEIRA","F","7"
"KEITH","M","411"
"KELLEY","F","15"
"KELLIE","F","5"
"KELLY","F","78"
"KELVIN","M","3"
"KENNETH","M","255"
"KERRI","F","5"
"KERRIE","F","23"
"KERRY","F","16"
"KEVIN","M","590"
"KIAN","M","3"
"KIERA","F","13"
"KIERAN","M","260"
"KIERON","M","5"
"KILIAN","M","3"
"KILLIAN","M","30"
"KIM","F","62"
"KIMBERLEY","F","4"
"KIRSTEN","F","5"
"KIRSTY","F","3"
"KIVA","F","3"
"KRISTEN","F","3"
"KRISTIAN","M","4"
"KRISTIN","F","5"
"LAOISE","F","5"
"LARA","F","6"
"LARINA","F","3"
"LAURA","F","488"
"LAUREN","F","11"
"LAURENCE","M","58"
"LAURIE","F","5"
"LAVINIA","F","9"
"LAWRENCE","M","12"
"LEAH","F","29"
"LEANNE","F","42"
"LEE","F","14"
"LEE","M","52"
"LEEANN","F","5"
"LEEANNE","F","3"
"LEIGH","F","14"
"LEIGH","M","8"
"LEIGHTON","M","3"
"LEILA","F","3"
"LELIA","F","4"
"LENA","F","5"
"LENNON","M","5"
"LEO","M","24"
"LEON","M","31"
"LEONA","F","67"
"LEONARD","M","33"
"LEONI","F","3"
"LEONIE","F","13"
"LEONORA","F","4"
"LESLEY","F","50"
"LESLEY","M","4"
"LESLIE","F","12"
"LESLIE","M","12"
"LIA","F","3"
"LIAM","M","197"
"LIANE","F","3"
"LIANNE","F","6"
"LILIAN","F","9"
"LILLIAN","F","4"
"LILY","F","4"
"LINDA","F","332"
"LINDSAY","F","12"
"LINDSEY","F","15"
"LINSEY","F","3"
"LISA","F","629"
"LIZA","F","7"
"LLOYD","M","10"
"LORAINE","F","28"
"LORAINNE","F","3"
"LORCAN","M","31"
"LORETTA","F","20"
"LORI","F","3"
"LORNA","F","103"
"LORRAINE","F","376"
"LOUIS","M","14"
"LOUISA","F","6"
"LOUISE","F","528"
"LOURDA","F","4"
"LUCIA","F","6"
"LUCINDA","F","3"
"LUCY","F","40"
"LUKE","M","51"
"LYDIA","F","31"
"LYN","F","5"
"LYNDA","F","45"
"LYNDSAY","F","6"
"LYNDSEY","F","9"
"LYNETTE","F","7"
"LYNN","F","67"
"LYNNE","F","21"
"LYNSEY","F","12"
"MADELEINE","F","3"
"MADELINE","F","8"
"MAEVE","F","106"
"MAIRE","F","41"
"MAIREAD","F","180"
